Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
15,-2.336362172580974,49.939026803915915,591.5127487678733,25.28873196818631,-11.650355202037622,35.77973095708693,-44.966264463947844,10.718726587634254,93.37580033490661,0,0,0,0,0,0,69.3756371573291,43.87340565123385,433.1314756353758,-62.346585993500376
16,-2.2989710469597258,46.66549010972258,589.3618122321941,25.537609806529332,-12.001927821861122,35.410279590318275,-43.12640336876333,9.58434028297915,90.94930821941693,0,0,0,0,0,0,65.71801658744515,42.72241710441918,440.25921067269394,-58.3286340846076
17,-2.2651527236062403,43.407272236800495,584.8717022635351,25.772842320745816,-12.360137853557543,35.15220699584312,-41.44872657348562,8.526308306554228,88.48386698173572,0,0,0,0,0,0,63.645743868625026,42.852095195692954,445.7199011094338,-48.318659360585464
18,-2.2390071955140933,40.17650772167626,578.1768554720308,25.990894055146885,-12.72045591492175,35.00889286579297,-39.941237378023295,7.522651535729966,85.98196903746113,0,0,0,0,0,0,64.41833801885723,44.46478605497786,452.5645865148468,-33.11168935051382
19,-2.222629951442162,36.98598865565665,569.1277509094093,26.18671256801932,-13.07896016985141,34.9777645612665,-38.6001628167655,6.550107908825028,83.43179767962727,0,0,0,0,0,0,68.84239343167866,47.43983343190741,462.745386235361,-14.502330959645294
20,-2.2161366392922566,33.850598121545055,557.2834471869243,26.354359379894806,-13.433413647179004,35.049967424869905,-37.41045567227505,5.588170261497504,80.81413869647382,0,0,0,0,0,0,77.14973314664275,51.397393344164456,476.7743938458402,5.170347260087935
21,-2.2179367140141726,30.788517015694495,542.0139443828746,26.488484410446876,-13.784281861833144,35.21240395453059,-36.34786336875755,4.621804938474115,78.11038719005269,0,0,0,0,0,0,88.98406784072638,55.8396642749741,493.76007966504926,23.52956899103718
22,-2.225141272763327,27.821613478181206,522.7008892462118,26.586125417653967,-14.13537384015352,35.45112999092566,-35.38223083548972,3.642753497697922,75.30954343726222,0,0,0,0,0,0,103.48617886579588,60.31845392119898,511.77343736345216,38.598529753896145
23,-2.2339990021375264,24.974575649624065,498.98201134326746,26.64807648871162,-14.49380636478491,35.754628960798314,-34.481353126984594,2.6494741008338902,72.41261602256824,0,0,0,0,0,0,119.4560459078792,64.56818433871244,528.4070616729076,49.1093464482885
24,-2.240267557685983,22.272754945706325,470.95209208696747,26.67917715214546,-14.869124342347313,36.11572631454655,-33.61448785593244,1.6456836863858721,69.4337679453915,0,0,0,0,0,0,135.56394064945368,68.56091099075206,541.3580322835685,54.677825445281755
25,-2.2394597331799386,19.739213787891828,439.23550147295055,26.68730187957063,-15.271649173282777,36.53165483772525,-32.754825727498606,0.637503813092558,66.39846411750399,0,0,0,0,0,0,150.5784432767057,72.47365451446574,548.8927347024423,55.854124572736204
26,-2.2269433425280227,17.39186971849296,404.8888221295491,26.681380347666934,-15.7103871378431,37.002597817990214,-31.88077845510862,-0.3703642413063159,63.33953103094329,0,0,0,0,0,0,163.5751798630302,76.58876650293253,550.1104822493697,54.046893024795594
27,-2.1978991895796214,15.241686019222138,369.1580094165014,26.669176673726874,-16.19098552600846,37.529536625583205,-30.976520109310673,-1.3784467146182142,60.292336989366056,0,0,0,0,0,0,174.08370683264175,81.16110109062186,544.9873475244525,51.31666151532769
28,-2.1471646691549946,13.292534160491494,333.17108495453,26.655624579634303,-16.71420704413221,38.112295555269846,-30.032447752804497,-2.395073117477577,57.2902502597893,0,0,0,0,0,0,182.12702027341368,86.28396004026115,534.2396035745096,50.06070234802651
29,-2.0690465925060693,11.542787843763575,297.66932771505674,26.642267499494494,-17.27524250444298,38.74841933618392,-29.046031060431197,-3.4368359984278967,54.3611876989249,0,0,0,0,0,0,188.1244483209103,91.78267767802994,519.0854470464411,52.64384039346874
30,-1.9572722780772525,9.988140715672197,262.8621592331591,26.627931941565645,-17.863993780678257,39.4331133993797,-28.02307396558962,-4.526727410470096,51.52557290919851,0,0,0,0,0,0,192.6735618550326,97.16774593635711,500.99144256651556,61.03822046139097
31,-1.8052951895058456,8.624771444862006,228.4476206717071,26.61033864043153,-18.46629608350705,40.16008477639328,-26.97896302022265,-5.690392557787733,48.79558094733726,0,0,0,0,0,0,196.28344836347603,101.67980757446645,481.46617181042666,76.51827237921546
32,-1.6071043153936138,7.451892067221999,193.79126268785248,26.588058757702928,-19.065910286659864,40.922870398996466,-25.9392140872933,-6.951323168951427,46.17530649742268,0,0,0,0,0,0,199.16288972690893,104.44130267120222,461.9207626135049,99.43414806476879
33,-1.3585073722627816,6.4728899730262235,158.2134262436566,26.56212343518135,-19.646985686047053,41.716180132463606,-24.938602833587808,-8.325916437709273,43.661514554222954,0,0,0,0,0,0,201.14595851305307,104.69176769986373,443.56980846193557,129.0707268076606
34,-1.0586657623343971,5.6946590400879815,121.30282709193143,26.536715754439562,-20.196579355448375,42.53686095204074,-24.01830945361827,-9.819253124552315,41.24489797175507,0,0,0,0,0,0,201.77431465216875,102.04352058550174,427.31544251913203,163.59316162920328
35,-0.7115612581435051,5.125243519116982,83.16003493175299,26.51868620359126,-20.706742879205688,43.38421272160834,-23.22078211778827,-11.422296015196547,38.912127529523865,0,0,0,0,0,0,200.48978689690864,96.67562017272206,413.56932127193215,200.0882018673089
36,-0.3270836090907424,4.770460731941161,44.489739082443116,26.516040574539275,-21.175686679421077,44.25951321160663,-22.58252116735326,-13.111002747204273,36.6491139829096,0,0,0,0,0,0,196.85786374606747,89.39730216482593,402.0390303425802,234.73472151698775
37,0.0785286272704167,4.6305253751918,6.50941819528891,26.53589604903219,-21.607669520004464,45.16476338307277,-22.12582588186594,-14.847563433878307,34.44546924447726,0,0,0,0,0,0,190.74693566523123,81.54911337369575,391.60589777953413,263.1637425282745
38,0.48313301152922017,4.697698199117654,-29.29282860825697,26.582543650447214,-22.011571783978777,46.100868603556364,-21.85159152455705,-16.58364535612616,32.299174515553375,0,0,0,0,0,0,182.41099372087217,74.75351278806653,380.4659688646976,281.0698295329574
39,0.8601923997378704,4.95561432376763,-61.46759086129313,26.656156150728627,-22.398510237323116,47.06570118100848,-21.735934924740658,-18.265309390978377,30.219534328291875,0,0,0,0,0,0,172.45065861011045,70.56499722787122,366.61809926420875,285.0813060130649
40,1.1813577123351446,5.380380879233298,-88.88323004104296,26.75241905980552,-22.779143858405238,48.05265976924206,-21.73298159444559,-19.83931345783789,28.226489190449257,0,0,0,0,0,0,161.65990342915407,70.09897877823276,348.57860938191715,273.77134878229435
41,1.419860534781776,5.943015502501408,-110.9029307789736,26.863067120085635,-23.1613448995895,49.05033581287277,-21.784203083993958,-21.260701414862464,26.34569768538105,0,0,0,0,0,0,150.805632709044,73.7336828587897,326.01077104750823,248.52499094326652
42,1.5541867762092358,6.612517029027358,-127.43522946302654,26.97709557328901,-23.54868049097951,50.04363969815519,-21.831929449206537,-22.501372421172523,24.600910664915578,0,0,0,0,0,0,140.4211240973056,80.97033027019212,299.9372500256036,213.8604865503552
43,1.5713744544772132,7.358868170776162,-138.8770839510599,27.082344753197038,-23.9398457509406,51.01627788456978,-21.83263528996384,-23.55830740614284,23.00671821755453,0,0,0,0,0,0,130.6978365215087,90.49937304538531,272.40317347523927,176.8543965609718
44,1.469320955800664,8.155473849118163,-145.99005298861547,27.16720141519062,-24.328993498718663,51.95398433635503,-21.765630520952087,-24.458641232377282,21.564645204761234,0,0,0,0,0,0,121.51998976270885,100.46526042719707,245.75434800018598,145.58550550849517
45,1.2576303458478677,8.980786061515946,-149.74838133323325,27.222223558674195,-24.706851420532328,52.847598410261135,-21.63485890632841,-25.257974530800674,20.26383791674086,0,0,0,0,0,0,112.61976454799378,108.86941244403123,221.88226561356825,126.9034142964346
46,0.9567142716992216,9.819050449398247,-151.1837095885263,27.24149325560595,-25.062489801773573,53.69506655543612,-21.464254081825487,-26.029357264805274,19.08541626750056,0,0,0,0,0,0,103.7780764785957,114.01748559362647,201.74433084047675,124.16108593714557
47,0.5950887465624787,10.660201018947177,-151.23612943970923,27.223445199820027,-25.385491603877615,54.50173546067779,-21.288949214050927,-26.8434082146478,18.008335968463175,0,0,0,0,0,0,94.98646664788576,114.90860006469447,185.26081771429267,135.67749438932847
