Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
55,15.978355081349756,22.507677155851905,209.78734634402588,6.433264272570022,-3.7880568823140686,77.59834287294655,17.325908533695543,41.66189495293627,89.49275082724844,0,0,0,0,0,0,105.9438835693666,38.154867449410176,77.32273304924183,-262.9319458814614
56,16.344651229346955,21.37521933034285,199.9566376686617,6.264243161898895,-3.4958679713714793,77.85790950462304,17.657274478991134,43.062539474133764,89.07671726944837,0,0,0,0,0,0,116.8244009007466,44.477605109705124,72.21611394906475,-264.773530606723
57,16.732249538527885,20.286009582175286,193.72558756436817,6.085809779924496,-3.2048502860872596,78.12157709680349,18.03329062754162,44.45753030927197,88.69253363882797,0,0,0,0,0,0,125.72088180547337,51.026714244188,66.18097340208054,-263.8367209225046
58,17.12929660119198,19.222741713188356,189.85855581954377,5.890622635181535,-2.9126247527864995,78.38888616162501,18.461369993739158,45.83062943254409,88.34385641191821,0,0,0,0,0,0,132.22772605469817,57.31676535245635,59.704874056143986,-260.21263075230115
59,17.524934132073728,18.17637620077171,186.7765860510825,5.672761447435891,-2.6165210691155685,78.66163190158223,18.94528184940028,47.16760566715364,88.03176985265675,0,0,0,0,0,0,136.26317024004385,62.987042024404204,53.18985920167343,-254.2951177898032
60,17.9100321875165,17.14718165959124,182.87424653015458,5.428780962302345,-2.314102989554712,78.94414868951955,19.48461238560458,48.45803081412363,87.75544261187822,0,0,0,0,0,0,138.01696067237253,67.84393197464617,46.90928810112992,-246.82500642404378
61,18.277529324999385,16.1439928020076,176.8207473562286,5.158289251375593,-2.0036360701508156,79.2421832775252,20.073911205927892,49.697257109519924,87.51292795588053,0,0,0,0,0,0,137.87734379215212,71.85313945629976,40.99282924163329,-238.85703821796278
62,18.622558448320564,15.18189932442949,167.79836099156603,4.863926004441379,-1.684453555507749,79.5609319500972,20.701992195462438,50.887988353671034,87.30199137426045,0,0,0,0,0,0,136.3607390056433,75.10867901864474,35.42902621966624,-231.6284434869127
63,18.94245171847921,14.278848870400855,155.63065615039534,4.550728691725133,-1.3572077438490247,79.90308993232863,21.3520939353793,52.04075759925217,87.12087791145126,0,0,0,0,0,0,134.06275782023747,77.8104882197913,30.092547913847497,-226.34425088927534
64,19.236623794663654,13.45190706471698,140.76483626205902,4.225020123845109,-1.0239816265775936,80.26773502944336,22.003405680825487,53.17287004793126,86.96882438652389,0,0,0,0,0,0,131.63028467236816,80.26416837314655,24.810924242650184,-223.93800551076396
