Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
30,-1.4013558162069895,59.20915419047666,504.69618221202603,15.66677701212429,-15.697928651892987,26.18578472819173,4.897883387216247,-24.115460418503297,98.22793510853037,0,0,0,0,0,0,42.65974132487915,-12.364201000266123,417.0432407741793,11.475423172446657
31,-1.2301312068832468,56.41336886696306,500.7829133050015,15.933046636860517,-15.818564641490518,26.324750772442705,5.170805540637576,-24.444401059145914,95.84661819999867,0,0,0,0,0,0,41.15736208941108,-9.02387258911589,439.947079691659,17.829955077240236
32,-1.1049742068877833,53.64555504033043,494.9266477493785,16.1805901816165,-15.922785162928015,26.457574031897547,5.498161320843614,-24.85039603283418,93.33258087949231,0,0,0,0,0,0,40.02196471800176,-4.111136868717422,465.1534659274161,21.220448150023067
33,-1.0298071965674715,50.91462544821994,487.8725658909582,16.399291092622857,-16.016975943716997,26.567981301025576,5.876913601493589,-25.31142535501269,90.67316569361017,0,0,0,0,0,0,40.53823777415353,2.2026451744929556,492.1589833644417,20.73152639675061
34,-0.9990705254167864,48.22501797319994,480.47974191907423,16.579861901007607,-16.10815150496773,26.64528164698802,6.2993058366820645,-25.796949410180353,87.86071583629615,0,0,0,0,0,0,43.575206912062974,9.401908119452154,519.7717591028858,15.874087218251844
35,-0.9985025345644067,45.57614952202774,473.6647752382473,16.714989198049945,-16.202937902892195,26.686127291381347,6.753581487757105,-26.27165407045215,84.89579347959653,0,0,0,0,0,0,49.46942095634334,16.703681557139824,546.4336735533016,6.800882718939307
36,-1.0072098931623163,42.96228466391551,468.3028342301486,16.800210897413322,-16.306655954472934,26.69449628015974,7.2251527633466575,-26.700493556924467,81.7880771664617,0,0,0,0,0,0,57.999423494368514,23.227961046572684,570.6563110979982,-5.622939194721355
37,-1.0009967373101216,40.373095002290405,465.091926615047,16.834209413056858,-16.422747722030465,26.680232586563267,7.698381256259654,-27.054189910195753,78.55470868397137,0,0,0,0,0,0,68.42803107275127,28.213221277835807,591.4181041085238,-19.922866479899284
38,-0.9566340846214147,37.79504866688457,464.41456535616396,16.818440786961844,-16.552701838269332,26.656815100080937,8.158806085243294,-27.31410153764778,75.21675923727895,0,0,0,0,0,0,79.6016921955758,31.200539250909685,608.3782138253621,-34.253393643989504
39,-0.8563291718913366,35.213521648365266,466.2360166950344,16.756343168973494,-16.696491496435222,26.639130061934953,8.595222222888784,-27.47536215350788,71.79519078496762,0,0,0,0,0,0,90.10888516842176,32.12305965752677,621.8246937812728,-46.69440862951263
