,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
137,137,8.05307486533202,55.67144747045996,-11.692019537727141,-4.545367039446851,44.49864458914679,19.539597566537548,42.58503500781253,26.607615376355852,-16.324546865948022,71.5132224047908,40.24456678804704,315.92011838952305,-89.11778633719392
138,138,8.094020370370371,55.089637037037036,-11.856348148148149,-4.106566666666667,44.678014814814816,19.46582962962963,36.99763703703703,26.62886111111111,-16.3428,71.06186666666666,40.033211111111115,311.9710148148148,-91.16591111111111
139,139,8.134571787097606,54.51562443997764,-12.015159171259777,-3.6681072532902648,44.85968424317253,19.40249402079926,31.31258018629306,26.648909312516327,-16.360128054098574,70.59614532822707,39.76663259897735,307.49813476882514,-93.11169216300203
140,140,8.174818908099285,53.950382557037315,-12.168818888330566,-3.229679181633631,45.04358376309405,19.349780730555175,25.54604718329467,26.667780075872663,-16.37649957496723,70.11692391171655,39.44573871948393,302.4973082397581,-94.94796959989054
141,141,8.214846296296296,53.394890740740735,-12.31771111111111,-2.790959259259259,45.22965185185185,19.307831481481482,19.718957407407405,26.685496296296293,-16.391883333333332,69.62497777777777,39.07170555555555,296.9733166666666,-96.66620370370372
142,142,8.254735901215566,52.85012234104165,-12.462241026096944,-2.3516178720267584,45.41784239423444,19.276728985401427,13.856981080162875,26.70208396902105,-16.406247682336232,69.12101616411141,38.645955406157945,290.939969018823,-98.2566084140569
143,143,8.294584704025054,52.31699755988697,-12.602873911246443,-1.9113205157697275,45.608157106515534,19.256525528175935,7.990838178341263,26.717557400539135,-16.419571394841512,68.60575248269782,38.17012994865122,284.4207067750477,-99.7083573342502
144,144,8.334481481481479,51.796398148148135,-12.740072222222219,-1.4697629629629618,45.80061296296295,19.24719629629629,2.1553592592592543,26.73192777777777,-16.431838888888887,68.07994259259257,37.6460574074074,277.4468055555555,-101.01020740740739
145,145,8.374506481497813,51.289152052026346,-12.87428590740335,-1.026679443424428,45.99524226650734,19.24863523161076,-3.6110316209417106,26.745204936905925,-16.44303737240838,67.54442863737076,37.075722991211705,270.0564749103322,-102.15091918660704
146,146,8.414753573765896,50.79597066135287,-13.005985553618961,-0.5818344451781878,46.19212594760226,19.260688392302956,-9.267050889535309,26.757393764871463,-16.453153587930554,67.00024267047019,36.46120573310103,262.29374141200634,-103.11999624833688
147,147,8.455311111111111,50.317498148148154,-13.135637037037036,-0.13504999999999998,46.39137222222222,19.283118518518517,-14.769985185185185,26.7684962962963,-16.462183333333332,66.44863333333333,35.804633333333335,254.20582222222222,-103.9084685185185
148,148,8.496260806832005,49.85430926798552,-13.263689935437492,0.31378954611499676,46.59311085950211,19.31559560145652,-20.07664510393733,26.778510387716754,-16.470127246058706,65.89110684412728,35.108152821971835,245.84154289455125,-104.50946945770119
149,149,8.537694135281864,49.40685294733843,-13.390567940927959,0.7647499430831357,46.79749806663767,19.357705311116273,-25.14502628341401,26.787424100528305,-16.476969165404352,65.3295327639671,34.373878435476385,237.24884713570114,-104.91931819459272
150,150,8.579707407407406,48.97551111111111,-13.516666666666664,1.2178407407407406,47.00471666666667,19.40897222222222,-29.93576481481482,26.795233333333332,-16.482703703703706,64.76612592592592,33.60383888888889,228.4725185185185,-105.13799444444443
151,151,8.622392962298424,48.56060191101946,-13.642350349215413,1.6730159422578894,47.214973689704735,19.46885812705215,-34.41322006737617,26.8019379534058,-16.4873360477222,64.20345078809311,32.79994792928864,219.5526380276541,-105.16958182203281
152,152,8.665819395626029,48.162331849670586,-13.767942985627588,2.130183305406495,47.42849280151178,19.536736031912,-38.547527572087134,26.807512984088614,-16.49085361661925,63.644455119719524,31.963962116654912,210.52187596380566,-105.02322233055656
