Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
79,-2.362582642,59.32737694,-20.55295162,67.15007785,2.566442696,-4.042358258,2.703824957,0.8099881503,-5.238969126,0.3580754214,471.3574219,428.7851563,900.1425781,-1.224614999999929,2.405789399999969,26.81259999999952
80,-2.358948428,59.37150314,-20.5169717,67.17689045,2.564834815,-4.05070837,2.702600342,0.8123510899,-5.243551686,0.3604812109,471.34375,427.8691406,899.2128906,-1.224614999999929,2.405789500000033,26.81259999999952
81,-2.355185598,59.41497785,-20.48231446,67.20222642,2.56308408,-4.059307214,2.701298956,0.8148152197,-5.248298121,0.3629381824,471.9863281,427.8457031,899.8320313,-1.301386000000182,2.4569714999999603,25.33597000000043
82,-2.351422768,59.45845257,-20.44765723,67.2275624,2.561333344,-4.067906058,2.69999757,0.8172793496,-5.253044556,0.3653951539,472.3222656,427.8457031,900.1679688,-1.301386000000182,2.456971500000016,25.33597999999415
83,-2.347659939,59.50192728,-20.41299999,67.25289837,2.559582608,-4.076504902,2.698696184,0.8197434794,-5.257790991,0.3678521253,472.3339844,427.2382813,899.5722656,-1.301385999999738,2.4569714000000076,25.33597000000043
84,-2.343897109,59.545402,-20.37834276,67.27823435,2.557831872,-4.085103746,2.697394798,0.8222076093,-5.262537427,0.3703090968,472.9472656,426.9492188,899.8964844,-1.301386000000182,2.456971500000016,25.335980000008362
85,-2.34013428,59.58887671,-20.34368552,67.30357032,2.556081136,-4.09370259,2.696093412,0.8246717391,-5.267283862,0.3727660683,473.2695313,426.9570313,900.2265625,-1.301385999999738,2.4569714999999603,25.33597000000043
86,-2.336223009,59.63134378,-20.31064752,67.32699579,2.554145698,-4.102524738,2.694686195,0.8272179393,-5.27219725,0.3752648752,473.2890625,426.2246094,899.5136719,-1.4072170000001272,2.498806900000039,23.425469999992288
87,-2.332311738,59.67381084,-20.27760951,67.35042125,2.55221026,-4.111346886,2.693278978,0.8297641395,-5.277110637,0.3777636822,473.6113281,426.2070313,899.8183594,-1.4072170000001272,2.498806999999992,23.425459999998566
88,-2.328400467,59.7162779,-20.24457151,67.37384671,2.550274822,-4.120169033,2.691871761,0.8323103396,-5.282024025,0.3802624892,473.6113281,426.2070313,899.8183594,-1.4072170000001272,2.498806999999992,23.425459999998566
