Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
40,0.1980414197,54.89652228,-26.26444723,63.10896828,0.5040684925,-6.094920216,-0.07611835061,-0.3259132335,-7.523973386,0.1138175843,499.9589844,392.765625,892.7246094,1.843855860000007,-0.4322627000000051,-5.684399999999812,172.25280000002385
41,0.195685278,54.8812321,-26.28377292,63.10328389,0.5014942545,-6.100129618,-0.07427449474,-0.322981003,-7.528007332,0.1133853215,500.2714844,392.765625,893.0371094,1.843855869999994,-0.4322627999999995,-5.684389999998984,316.57589999997526
42,0.1931401514,54.86663525,-26.30270584,63.0977041,0.4989436398,-6.105495684,-0.07228880819,-0.3200445909,-7.532178674,0.1129054889,500.2792969,392.15625,892.4355469,1.9856865500000043,-0.4798325999999936,-5.579789999998752,276.86500000004344
43,0.1905950248,54.85203841,-26.32163875,63.09212432,0.4963930252,-6.11086175,-0.07030312165,-0.3171081788,-7.536350017,0.1124256562,500.2792969,392.15625,892.4355469,1.9856865400000034,-0.4798327000000019,-5.579779999997925,0.0
44,0.1880498981,54.83744157,-26.34057167,63.08654454,0.4938424106,-6.116227816,-0.0683174351,-0.3141717666,-7.540521359,0.1119458236,500.8945313,391.8535156,892.7480469,1.9856865499999903,-0.4798326000000075,-5.57978000000503,-41.9437000000471
45,0.1855047715,54.82284473,-26.35950459,63.08096475,0.4912917959,-6.121593881,-0.06633174855,-0.3112353545,-7.544692701,0.1114659909,501.2363281,391.4199219,892.65625,1.9856865500000043,-0.479832699999988,-5.579789999998752,333.9996000000838
46,0.1829596449,54.80824789,-26.37843751,63.07538497,0.4887411813,-6.126959947,-0.06434606201,-0.3082989424,-7.548864043,0.1109861583,501.2363281,391.1152344,892.3515625,1.9856865400000034,-0.4798326000000075,-5.579779999997925,166.95849999996426
47,0.1802158114,54.79437263,-26.39695302,63.06992337,0.486209711,-6.132474379,-0.06221515347,-0.3053651609,-7.553184959,0.1104521351,501.8632813,390.3691406,892.2324219,2.130908539999997,-0.5340231999999973,-5.461600000003841,470.89710000000196
48,0.1774719779,54.78049738,-26.41546853,63.06446178,0.4836782407,-6.137988812,-0.06008424494,-0.3024313795,-7.557505875,0.109918112,502.1445313,390.0644531,892.2089844,2.130908529999996,-0.5340231000000029,-5.461589999995908,72.55350000002636
49,0.1747281444,54.76662212,-26.43398403,63.05900018,0.4811467705,-6.143503244,-0.05795333641,-0.299497598,-7.561826791,0.1093840889,501.8496094,390.0644531,891.9140625,2.130908530000003,-0.5340231000000029,-5.461600000003841,13.637299999913921
50,0.171984311,54.75274687,-26.45249954,63.05353859,0.4786153002,-6.149017676,-0.05582242787,-0.2965638165,-7.566147706,0.1088500658,501.8359375,389.7695313,891.6054688,2.130908539999997,-0.534023099999989,-5.461589999995908,-388.3862999999792
51,0.1692404775,54.73887161,-26.47101504,63.048077,0.47608383,-6.154532109,-0.05369151934,-0.2936300351,-7.570468622,0.1083160427,502.5058594,389.7636719,892.2695313,2.130908530000003,-0.5340231000000029,-5.461590000003014,562.0211000000381
52,0.1662918141,54.7257453,-26.48908586,63.04274884,0.4735645736,-6.160181929,-0.05141564996,-0.2907043316,-7.574949677,0.1077211976,502.4902344,390.0742188,892.5644531,2.2758693800000036,-0.5948451000000049,-5.328159999997695,-174.594299999967
