Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
663,-31.74056144,7.670670771,7.006633272,6.411847484,19.33430424,-78.05697364,-24.3138059,157.89643427,0.8339017228451693,0.24665696851285535,13.353879001019367,144.64318586476384,1.0268752383143782,95.70412580647192,-18.10312497,151.75,-137.25,-118.6
664,-31.70462746,7.67519677,7.016328869,6.460896973,19.29543459,-78.02459754,-24.44334378,157.68303277,1.233357428927398,0.06924092479329483,13.25596973609695,143.6570003397893,1.0418113472969182,94.98861213000367,-15.78437497,153.0,-136.75,-118.45
665,-31.66869347,7.679722769,7.026024465,6.509946461,19.25656494,-77.99222143,-24.57288166,157.46963126,1.2813269554875975,0.10618416581719332,13.155786079963756,142.42924600747534,1.0575030279787774,94.27300943057115,-13.46562497,154.25,-136.25,-118.3
666,-31.63275949,7.684248769,7.035720061,6.55899595,19.21769528,-77.95984533,-24.70241954,157.25622976,1.3333717148034885,0.05906494223581379,13.152623366179633,141.9584962056858,1.073869841910307,93.55785099502476,-11.14687497,155.5,-135.75,-118.15
667,-31.59682551,7.688774768,7.045415657,6.608045438,19.17882563,-77.92746922,-24.83195742,157.04282825,1.0915158464152226,0.04136758126628157,13.244725688073395,140.90992751160945,1.0908324990405933,92.84365730645561,-8.828124972,156.75,-135.25,-118.0
668,-31.55930474,7.69282275,7.056503661,6.655007326,19.14058135,-77.89175176,-24.96518049,156.84538424,0.9438223822629969,-0.009954765545361875,13.341145191980969,139.82817635066257,1.1083132682106978,92.13093675543574,-6.409374972,157.075,-135.3,-117.4125
669,-31.52178397,7.696870731,7.067591664,6.701969214,19.10233707,-77.8560343,-25.09840355,156.64794023,0.6479584545248612,-0.09999008947785704,13.389671219843697,139.5405941782761,1.1262363803279645,91.42018627164326,-3.990624972,157.4,-135.35,-116.825
670,-31.4842632,7.700918713,7.078679667,6.748931102,19.06409278,-77.82031684,-25.23162662,156.45049622,0.2509084829539019,-0.38005082682070446,13.391852282251671,138.77916525087778,1.1445284175232624,90.71189186138916,-1.571874972,157.725,-135.4,-116.2375
671,-31.44674243,7.704966694,7.08976767,6.795892989,19.0258485,-77.78459938,-25.36484968,156.25305222,0.0998034376260052,-0.41942745497791367,13.20651045418507,137.7688671423717,1.1631186805331089,90.00652903473816,0.846875028,158.05,-135.45,-115.65
672,-31.40922166,7.709014676,7.100855673,6.842854877,18.98760422,-77.74888192,-25.49807275,156.05560821,-0.10175291253822628,-0.6828969164118246,13.11276628157209,137.4096107146902,1.1819395266866681,89.30456310626661,3.265625031,158.375,-135.5,-115.0625
673,-31.37004964,7.712519848,7.113194809,6.887770252,18.9499879,-77.70953833,-25.63512359,155.87477057,-0.349115010306943,-0.8569947049495978,12.877170166496771,136.61389319288705,1.200926671974222,88.60644935644991,5.950000031,157.35,-135.4,-113.775
674,-31.33087762,7.716025021,7.125533945,6.932685627,18.91237159,-77.67019475,-25.77217444,155.69393294,-0.34803657730207266,-0.9757882404575828,12.598585366406162,135.62969860686374,1.2200194522933194,87.91263304573796,8.634375031,156.325,-135.3,-112.4875
675,-31.2917056,7.719530193,7.13787308,6.977601002,18.87475528,-77.63085116,-25.90922529,155.5130953,-0.24948439845962167,-0.9417208205912334,12.550996047117453,135.37507792501978,1.2391610406795701,87.22354927959074,11.31875003,155.3,-135.2,-111.2
676,-31.25253357,7.723035366,7.150212216,7.022516377,18.83713897,-77.59150758,-26.04627613,155.33225767,-0.19975550537999773,-0.9558787093668591,12.318521168875296,134.60037592026276,1.2582986189075105,86.53962272911939,14.00312503,154.275,-135.1,-109.9125
677,-31.21336155,7.726540538,7.162551352,7.067431752,18.79952265,-77.55216399,-26.18332698,155.15142004,-0.10023204558840183,-0.9346418762034205,12.31321886963416,133.8360711292332,1.2773835033238046,85.86126721787447,16.68750003,153.25,-135.0,-108.625
678,-31.17248903,7.729480402,7.175956414,7.110329995,18.76257295,-77.5089656,-26.3242472,154.98751848,0.00023504307543323138,-0.7625350407747196,12.26550858534375,133.54539200362439,1.2963712262132951,85.18888519052365,19.26250003,150.8,-134.575,-106.975
679,-31.1316165,7.732420266,7.189361477,7.153228239,18.72562325,-77.4657672,-26.46516742,154.82361693000001,0.05023700084947333,-0.693515332993544,12.350974391210782,132.97243991392003,1.3152215752845775,84.52286708355287,21.83750003,148.35,-134.15,-105.325
680,-31.09074398,7.73536013,7.20276654,7.196126482,18.68867355,-77.4225688,-26.60608764,154.65971537000001,0.04839467791369351,-0.6731633678785819,12.389946607769847,132.25348465284853,1.33389859474335,83.86359062141221,24.41250003,145.9,-133.725,-103.675
