Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1518,5.804959311,101.822911,11.35602538,76.09312331,21.01763055,-16.41061818,-12.72165117,8.722256894,5.581413753,-10.86434719,277.4453125,462.3398438,739.7851563,-101.60347999999964,-73.7086300000005,-139.58749000001092,14531.456400000025
1519,5.822478152,101.834734,11.35896491,75.95353582,21.05391015,-16.3325738,-12.82325464,8.716655782,5.601374664,-10.93805582,311.5976563,454.1601563,765.7578125,-101.60347000000058,-73.7086300000005,-139.5874899999967,16629.531999999926
1520,5.839996993,101.846557,11.36190443,75.81394832,21.09018976,-16.25452943,-12.92485812,8.711054671,5.621335574,-11.01176446,325.8164063,450.8359375,776.6523438,-101.60347999999964,-73.70863999999955,-139.58750000000464,7056.778099999974
1521,5.857515834,101.85838,11.36484396,75.67436083,21.12646936,-16.17648506,-13.02646159,8.705453559,5.641296485,-11.08547309,358.4199219,444.3242188,802.7441406,-101.60347000000058,-73.7086300000005,-139.5874899999967,14944.719200000009
1522,5.875034675,101.870203,11.36778348,75.53477334,21.16274897,-16.09844069,-13.12806507,8.699852448,5.661257395,-11.15918172,399.5449219,436.3183594,835.8632813,-101.60347999999964,-73.70862999999872,-139.5874899999967,17450.077899999997
1523,5.895129972,101.8817346,11.37031591,75.38597059,21.19770031,-16.01805563,-13.22892723,8.694446207,5.679917304,-11.22834471,415.3808594,433.4277344,848.8085938,-100.86216000000015,-69.16299000000059,-148.80275000000154,6892.014399999994
1524,5.915225269,101.8932663,11.37284834,75.23716785,21.23265164,-15.93767057,-13.32978939,8.689039966,5.698577213,-11.29750769,451.4335938,427.515625,878.9492188,-100.86216000000015,-69.16297999999976,-148.8027399999936,14308.117700000024
1525,5.935320567,101.9047979,11.37538078,75.0883651,21.26760298,-15.85728552,-13.43065156,8.683633725,5.717237122,-11.36667068,495.359375,420.2324219,915.5917969,-100.8621699999992,-69.16299000000059,-148.80275000000154,16958.20249999997
1526,5.955415864,101.9163295,11.37791321,74.93956236,21.30255432,-15.77690046,-13.53151372,8.678227484,5.735897031,-11.43583366,511.8242188,417.6640625,929.4882813,-100.86216000000015,-69.16297999999976,-148.80274000000782,6556.730100000095
1527,5.975511161,101.9278611,11.38044564,74.79075961,21.33750565,-15.6965154,-13.63237588,8.672821243,5.754556939,-11.50499665,547.2304688,411.046875,958.2773438,-100.86216000000015,-69.16299000000059,-148.80275000000154,13310.034799999925
1528,5.998604349,101.9392762,11.38275869,74.63231791,21.37114041,-15.61397839,-13.73208241,8.667824565,5.771774328,-11.56883198,588.0136719,404.3984375,992.4121094,-99.70653000000063,-63.83532999999986,-158.44169999999735,14860.056800000051
1529,6.021697537,101.9506913,11.38507175,74.47387622,21.40477516,-15.53144138,-13.83178894,8.662827886,5.788991716,-11.63266731,603.5136719,402.1113281,1005.625,-99.70652999999885,-63.83532999999986,-158.44169000000363,6020.2706000000035
1530,6.044790725,101.9621064,11.3873848,74.31543452,21.43840992,-15.44890436,-13.93149547,8.657831208,5.806209104,-11.69650264,634.2617188,396.3984375,1030.660156,-99.70653000000063,-63.83532999999986,-158.44169999999735,11566.21999999993
1531,6.067883913,101.9735215,11.38969786,74.15699282,21.47204467,-15.36636735,-14.031202,8.65283453,5.823426493,-11.76033798,665.8945313,389.75,1055.644531,-99.70653000000063,-63.83533999999891,-158.44169999999735,12214.180600000076
1532,6.090977101,101.9849367,11.39201091,73.99855112,21.50567943,-15.28383034,-14.13090853,8.647837851,5.840643881,-11.82417331,676.046875,387.1621094,1063.208984,-99.70652999999885,-63.83533000000163,-158.44169999999735,4502.19340000001
1533,6.117542611,101.9964426,11.39432856,73.83004089,21.53803971,-15.19935317,-14.22902326,8.643483607,5.856310646,-11.88184623,694.3671875,381.1210938,1075.488281,-98.1147300000007,-57.672919999999905,-168.51022999999543,8800.845600000002
1534,6.144108121,102.0079485,11.39664621,73.66153065,21.5704,-15.114876,-14.327138,8.639129362,5.871977411,-11.93951915,709.2988281,372.5722656,1081.871094,-98.11473999999976,-57.672919999999905,-168.51024000000336,9462.878899999963
1535,6.170673631,102.0194544,11.39896386,73.49302042,21.60276028,-15.03039882,-14.42525273,8.634775118,5.887644176,-11.99719207,713.2617188,369.1308594,1082.392578,-98.1147300000007,-57.672919999999905,-168.51023000000964,3370.089499999949
1536,6.197239141,102.0309604,11.40128151,73.32451018,21.63512057,-14.94592165,-14.52336747,8.630420873,5.90331094,-12.05486499,717.7226563,360.59375,1078.316406,-98.11473999999976,-57.672919999999905,-168.51023999998915,7198.256100000094
1537,6.223804652,102.0424663,11.40359916,73.15599995,21.66748086,-14.86144448,-14.6214822,8.626066629,5.918977705,-12.11253791,716.4140625,348.3105469,1064.724609,-98.1147300000007,-57.672919999999905,-168.51023000000964,7424.343199999953
1538,6.254359474,102.0543001,11.40617878,72.97697913,21.69864125,-14.77526221,-14.71753256,8.622602306,5.933024012,-12.16315685,714.0722656,343.8125,1057.884766,-96.05035999999956,-50.61893999999967,-179.02081999999098,2754.160899999988
1539,6.284914297,102.066134,11.40875841,72.79795831,21.72980165,-14.68907994,-14.81358293,8.619137983,5.947070318,-12.21377579,707.6210938,332.2871094,1039.908203,-96.05037000000038,-50.61893999999967,-179.0208200000052,5736.12879999996
1540,6.31546912,102.0779678,11.41133803,72.61893749,21.76096205,-14.60289767,-14.90963329,8.61567366,5.961116624,-12.26439472,694.6777344,317.5175781,1012.195313,-96.05035999999956,-50.61893000000062,-179.0208200000052,6022.63460000006
1541,6.346023942,102.0898017,11.41391765,72.43991667,21.79212245,-14.5167154,-15.00568366,8.612209338,5.97516293,-12.31501366,689.0996094,311.8300781,1000.929688,-96.05037000000038,-50.61893999999967,-179.02081999999098,2246.6484000000264
1542,6.376578765,102.1016355,11.41649727,72.26089585,21.82328285,-14.43053313,-15.10173402,8.608745015,5.989209237,-12.3656326,673.6953125,299.2851563,972.9804688,-96.05035999999956,-50.61893999999967,-179.0208200000052,2868.982200000005
