Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Total Force X,Total Force Y,Total Force Z,Front Force X,Front Force Y,Front Force Z,Back Force X,Back Force Y,Back Force Z,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
60,-0.7681657836,30.10935509,45.52268905,33.02321129,-4.189889464,-6.081828676,1.164667257,2.414301689,-7.030962723,0.4339039222,-14.27752686,-5.516357422,732.8671875,-8.646087646,66.73928833,291.2929688,-61.22293091,5.631439209,441.5742188,0.7233020000001478,-0.26483509999997157,-12.607119999998417
61,-0.7686770191,30.10248127,45.54041539,33.01060417,-4.19436784,-6.089685502,1.165390559,2.415202108,-7.027315977,0.4336390871,-14.26025391,-5.924926758,732.46875,-8.623443604,67.14529419,292.2402344,-61.22036743,5.636810303,440.2285156,0.7233019999999257,-0.2648351000000271,-12.607119999998417
62,-0.7691882547,30.09560745,45.55814174,32.99799705,-4.198846216,-6.097542329,1.16611386,2.416102527,-7.023669232,0.433374252,-15.265625,-5.914855957,732.7148438,-9.195831299,67.15640259,293.2089844,-61.24154663,6.069793701,439.5058594,0.723301000000065,-0.26483509999997157,-12.607119999998417
63,-0.7696994902,30.08873363,45.57586809,32.98538993,-4.203324592,-6.105399155,1.166837162,2.417002946,-7.020022487,0.4331094169,-14.80569458,-6.340759277,731.9902344,-9.165863037,67.56170654,293.84375,-61.22094727,5.639831543,438.1464844,0.7233019999999257,-0.2648351000000271,-12.607120000005523
64,-0.7709834003,30.08174498,45.59428381,32.97177305,-4.207868041,-6.113723083,1.167680535,2.417871507,-7.016801876,0.4321923121,-14.86361694,-7.394897461,731.3242188,-9.207977295,67.97195435,294.8320313,-60.57705688,5.655639648,436.4921875,0.8433729999999251,-0.9171048000000126,-13.616879999993614
65,-0.7722673105,30.07475633,45.61269953,32.95815616,-4.21241149,-6.122047012,1.168523907,2.418740067,-7.013581265,0.4312752073,-14.71405029,-7.852172852,731.3183594,-8.601348877,68.39044189,295.4316406,-60.53826904,6.112701416,435.8867188,0.8433720000000644,-0.9171047999999571,-13.616890000001547
66,-0.7735512206,30.06776768,45.63111525,32.94453928,-4.216954939,-6.130370941,1.16936728,2.419608628,-7.010360655,0.4303581025,-14.68743896,-7.387695313,730.1738281,-8.590240479,67.97955322,296.0507813,-60.59185791,6.097198486,434.1230469,0.8433729999999251,-0.9171048000000126,-13.61688000000072
67,-0.7748351308,30.06077903,45.64953097,32.9309224,-4.221498388,-6.138694869,1.170210652,2.420477189,-7.007140044,0.4294409976,-15.77740479,-7.763702393,729.0683594,-9.707611084,68.38378906,297.03125,-60.62008667,6.069793701,432.0371094,0.8433720000000644,-0.9171049000000209,-13.61688000000072
68,-0.7761190409,30.05379038,45.66794669,32.91730551,-4.226041837,-6.147018798,1.171054025,2.42134575,-7.003919433,0.4285238928,-15.75939941,-7.559143066,729.3886719,-9.666595459,68.78921509,297.34375,-61.23007202,6.092803955,432.0449219,0.8433730000001471,-0.9171048000000126,-13.616890000001547
69,-0.7781698424,30.04669841,45.68686807,32.90284092,-4.230619038,-6.155766034,1.172009758,2.422129267,-7.001093562,0.4269526764,-16.21670532,-8.83795166,729.6289063,-9.68661499,68.78872681,298.6347656,-59.95077515,6.530090332,430.9941406,0.9557329999998476,-1.571216399999964,-14.46458999999578
70,-0.7802206438,30.03960645,45.70578946,32.88837632,-4.235196239,-6.164513271,1.172965491,2.422912784,-6.99826769,0.42538146,-15.68130493,-10.521698,729.3613281,-9.155792236,69.21136475,299.5976563,-58.68966675,6.525512695,429.7636719,0.9557330000000697,-1.5712164000000195,-14.464600000003713
71,-0.7822714452,30.03251448,45.72471084,32.87391172,-4.239773441,-6.173260507,1.173921224,2.423696301,-6.995441819,0.4238102436,-15.20169067,-10.94235229,728.59375,-9.113983154,69.61730957,299.5820313,-58.67495728,6.08770752,429.0117188,0.9557330000000697,-1.571216399999964,-14.464599999996608
72,-0.7843222467,30.02542252,45.74363222,32.85944712,-4.244350642,-6.182007743,1.174876958,2.424479818,-6.992615948,0.4222390273,-16.21810913,-10.2925415,728.1328125,-9.70098877,69.62747192,300.8789063,-59.33493042,6.517120361,427.2539063,0.9557339999999304,-1.5712163000000112,-14.464600000003713
73,-0.7863730481,30.01833055,45.7625536,32.84498252,-4.248927843,-6.19075498,1.175832691,2.425263335,-6.989790077,0.4206678109,-16.25567627,-10.9397583,727.4648438,-9.721038818,69.62698364,302.1679688,-58.68722534,6.534637451,425.296875,0.9557330000000697,-1.5712164000000195,-14.464599999996608
74,-0.7891650368,30.01114452,45.78177006,32.82986957,-4.253505282,-6.199868173,1.17687906,2.425918746,-6.98731928,0.4184470682,-16.78414917,-11.34997559,727.3359375,-10.25357056,70.04421997,302.4726563,-58.69424438,6.530578613,424.8632813,1.0463689999999914,-2.2207427,-15.112950000002456
75,-0.7919570254,30.00395849,45.80098652,32.81475662,-4.25808272,-6.208981366,1.17792543,2.426574157,-6.984848483,0.4162263256,-16.17541504,-12.36068726,725.984375,-9.659393311,70.43856812,302.7773438,-58.07788086,6.516021729,423.2070313,1.0463699999998521,-2.220742599999992,-15.112950000002456
76,-0.794749014,29.99677246,45.82020298,32.79964367,-4.262660158,-6.218094559,1.178971799,2.427229569,-6.982377686,0.414005583,-17.21560669,-12.76123047,725.5371094,-10.26571655,70.85974121,304.09375,-58.09851074,6.949890137,421.4433594,1.0463689999999914,-2.220742599999992,-15.112949999995351
77,-0.7975410027,29.98958643,45.83941945,32.78453071,-4.267237596,-6.227207752,1.180018169,2.42788498,-6.979906889,0.4117848404,-17.23370361,-12.76638794,725.578125,-10.27755737,70.85906982,304.7421875,-58.09268188,6.95614624,420.8359375,1.0463700000000742,-2.220742599999992,-15.112960000003284
78,-0.8003329913,29.9824004,45.85863591,32.76941776,-4.271815035,-6.236320945,1.181064538,2.428540391,-6.977436091,0.4095640978,-16.74215698,-13.41317749,723.7382813,-10.21279907,70.85482788,304.7011719,-57.44165039,6.52935791,419.0371094,1.0463689999999914,-2.220742599999992,-15.112949999995351
79,-0.803824804,29.97513102,45.87791707,32.75388488,-4.276357574,-6.245735189,1.182170443,2.429036721,-6.975276455,0.4067050963,-17.62033081,-14.66299438,722.8730469,-10.23666382,70.85406494,305.359375,-56.19107056,7.383666992,417.5136719,1.1059049999999626,-2.8590015000000135,-15.53288000000208
80,-0.8073166167,29.96786165,45.89719823,32.738352,-4.280900113,-6.255149432,1.183276348,2.42953305,-6.973116819,0.4038460948,-17.62133789,-14.67086792,722.8964844,-10.2328186,70.8543396,305.9882813,-56.18347168,7.388519287,416.9082031,1.1059049999999626,-2.8590015000000135,-15.53288000000208
81,-0.8108084294,29.96059228,45.91647939,32.72281912,-4.285442652,-6.264563676,1.184382253,2.43002938,-6.970957182,0.4009870934,-17.6031189,-15.07653809,722.8125,-10.21383667,71.25949097,306.9433594,-56.18295288,7.389282227,415.8691406,1.1059050000001847,-2.8590014000000052,-15.53288000000208
82,-0.8143002421,29.9533229,45.93576055,32.70728624,-4.28998519,-6.27397792,1.185488158,2.430525709,-6.968797546,0.3981280919,-16.99966431,-15.49020386,721.6523438,-9.609039307,71.67755127,307.5625,-56.18734741,7.390625,414.0898438,1.1059049999999626,-2.8590015000000135,-15.532879999994975
83,-0.8177920547,29.94605353,45.95504171,32.69175336,-4.294527729,-6.283392164,1.186594063,2.431022039,-6.966637909,0.3952690904,-17.55050659,-16.10647583,721.5351563,-10.18240356,71.68881226,308.1914063,-55.58233643,7.368103027,413.34375,1.1059049999999626,-2.859001499999958,-15.53288000000208
84,-0.8219278857,29.93871508,45.97414566,32.67604882,-4.298999141,-6.293041197,1.187722094,2.43134079,-6.964741222,0.3917912877,-16.95904541,-17.14620972,720.1972656,-9.577972412,72.08282471,308.5039063,-54.93661499,7.381072998,411.6933594,1.1280309999999183,-3.477802700000032,-15.704540000001543
85,-0.8260637167,29.93137664,45.99324961,32.66034428,-4.303470552,-6.302690231,1.188850126,2.431659541,-6.962844535,0.388313485,-17.53674316,-17.16091919,718.4511719,-10.14956665,72.09442139,309.1445313,-54.9335022,7.387176514,409.3066406,1.128032000000001,-3.4778026999999767,-15.704540000001543
