Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque,Back Torque
47,3.832949812,22.30375607,45.3389065,139.84245774,-9.200710779,18.74003493,4.795135538,7.546085822,6.798437502,-26.784375,-26.80937501,-40.89375,22.50686646,82.32011414,742.4082031,18.33784485,79.46679688,-15.03973389,662.9414063,-1.9186633557374349,7.474543898296501
48,3.833534876,22.34441387,45.35452389,139.86479497,-9.206327845,18.77660913,4.787630682,7.553358574,7.137500002,-26.99375,-28.38125001,-41.025,21.48727417,81.92018127,742.4453125,18.75950623,79.18554688,-14.60748291,663.2597656,-1.8427201627464338,7.4306202364059954
49,3.834119939,22.38507166,45.37014127,139.8871322,-9.211944912,18.81318333,4.780125826,7.560631327,7.476562502,-27.203125,-29.953125,-41.15625,20.48297119,82.94425964,743.8164063,18.33677673,79.81445313,-14.16317749,664.0019531,-1.7667806513376842,7.386198340859091
50,3.835071785,22.42559298,45.38555589,139.90941851,-9.216932999,18.84938571,4.772483578,7.567551003,7.953125002,-27.253125,-29.6875,-41.4125,20.45379639,81.94377136,743.8671875,18.74681091,80.16210938,-14.16799927,663.7050781,-1.6909998770927654,7.3412826277925625
51,3.83602363,22.4661143,45.40097051,139.93170482,-9.221921086,18.88558808,4.764841331,7.574470679,8.429687502,-27.303125,-29.421875,-41.66875,20.45446777,81.9475708,743.8613281,18.74682617,79.8515625,-14.16970825,664.0097656,-1.615532848177016,7.295880523146529
52,3.836975475,22.50663562,45.41638512,139.95399114,-9.226909173,18.92179046,4.757199083,7.581390354,8.906250002,-27.353125,-29.15625,-41.925,19.99902344,81.92233276,744.7910156,18.74667358,80.171875,-13.72528076,664.6191406,-1.5405338697092685,7.250002455939765
53,3.83792732,22.54715694,45.43179974,139.97627745,-9.231897261,18.95799283,4.749556836,7.58831003,9.382812502,-27.403125,-28.890625,-42.18125,20.02035522,81.30955505,745.8476563,18.74617004,80.5,-13.74743652,665.3476563,-1.4661558980331422,7.203661826789013
54,3.838879165,22.58767826,45.44721436,139.99856376,-9.236885348,18.99419521,4.741914588,7.595229706,9.859375002,-27.453125,-28.625,-42.4375,20.01663208,81.94728088,746.1699219,18.74601746,80.81835938,-13.75476074,665.3515625,-1.3925499071283824,7.156874951472727
55,3.840279291,22.62808391,45.46247068,140.02087798,-9.240954605,19.03012182,4.734384417,7.601719923,10.265625,-27.68125,-29.0,-42.5625,19.41046143,81.90809631,747.5410156,18.75648499,81.14453125,-13.7265625,666.3964844,-1.3198642690119065,7.109660979837817
56,3.841679416,22.66848956,45.477727,140.04319221,-9.245023863,19.06604844,4.726854246,7.60821014,10.671875,-27.909375,-29.375,-42.6875,19.46322632,82.13887024,747.5253906,19.1632843,81.12304688,-13.73388672,666.4023438,-1.24824414974131,7.062041790792481
57,3.843079542,22.70889521,45.49298332,140.06550643,-9.249093121,19.10197506,4.719324075,7.614700357,11.078125,-28.1375,-29.75,-42.8125,19.90982056,81.50778198,748.5585938,19.16314697,81.44335938,-14.1914978,667.1152344,-1.1778309224829813,7.014041864427061
58,3.844479668,22.74930086,45.50823965,140.08782066,-9.253162378,19.13790167,4.711793904,7.621190574,11.484375,-28.365625,-30.125,-42.9375,19.90267944,81.50762939,749.5097656,19.16329956,82.39453125,-14.1914978,667.1152344,-1.1087615989705528,6.965688132532565
59,3.845879794,22.7897065,45.52349597,140.11013488,-9.257231636,19.17382829,4.704263733,7.62768079,11.890625,-28.59375,-30.5,-43.0625,20.29382324,81.30786133,750.1679688,18.75668335,83.05664063,-14.63632202,667.1113281,-1.041168280543823,6.917009809008552
60,3.847791359,22.83005471,45.53864223,140.1325693,-9.260630998,19.20932775,4.696880221,7.633807153,12.1359375,-28.628125,-30.3875,-42.89375,19.8894043,80.86351013,749.9570313,19.16279602,82.4140625,-14.18005371,667.5429688,-0.9751776298845931,6.868038201812993
61,3.849702924,22.87040292,45.5537885,140.15500372,-9.26403036,19.24482721,4.689496708,7.639933515,12.38125,-28.6625,-30.275,-42.725,19.89678955,81.50108337,749.9628906,19.16279602,82.4140625,-14.18743896,667.5488281,-0.9109103646137565,6.818806508182574
