Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1712,40.02680622,125.4608705,34.43013391,1.077593106,25.09209068,17.14834552,-25.90117774,-7.913606437,-11.50917832,10.0749249,767.5390625,69.33398438,836.8730469,291.49395999999683,108.47894700000005,87.92966919999989,-1129.2049999999563
1713,39.84911572,125.2673329,34.2830585,1.191150477,25.05641603,17.00341452,-25.61038929,-7.95312143,-11.52187054,10.17819964,764.3808594,69.74609375,834.1269531,290.78845000000086,103.27474000000159,113.55737100000019,-452.6970000001711
1714,39.67142522,125.0737953,34.13598309,1.304707847,25.02074137,16.85848352,-25.31960085,-7.992636424,-11.53456277,10.28147437,763.7636719,70.17773438,833.9414063,290.78844000000004,103.27472999999898,113.55736999999988,-766.4449999999761
1715,39.49373473,124.8802577,33.98890768,1.418265218,24.98506672,16.71355252,-25.0288124,-8.032151418,-11.54725499,10.38474911,760.5859375,70.90820313,831.4941406,290.78845000000086,103.27473999999981,113.55737099999996,-1277.3689999999078
1716,39.31604423,124.6867201,33.84183226,1.531822588,24.94939207,16.56862152,-24.73802396,-8.071666411,-11.55994722,10.48802384,757.0839844,71.76757813,828.8515625,290.78844000000004,103.27473000000076,113.5573700000001,-1817.7740000000995
1717,39.13835373,124.4931825,33.69475685,1.645379958,24.91371742,16.42369052,-24.44723551,-8.111181405,-11.57263945,10.59129858,756.1132813,72.0703125,828.1835938,290.78845000000086,103.27473999999981,113.55736999999988,-521.2159999998676
1718,38.95299838,124.2876301,33.54314809,1.784159174,24.87308236,16.27983487,-24.15990433,-8.143504785,-11.58616955,10.68802625,752.5917969,72.65625,825.2480469,287.3311799999989,96.72766999999993,138.7792160000001,-868.78999999999
1719,38.76764302,124.0820777,33.39153933,1.922938389,24.8324473,16.13597923,-23.87257314,-8.175828166,-11.59969966,10.78475393,748.7421875,72.78515625,821.5273438,287.3311899999997,96.72768000000076,138.77921500000002,-167.1840000001339
1720,38.58228767,123.8765253,33.23993057,2.061717604,24.79181224,15.99212358,-23.58524196,-8.208151546,-11.61322977,10.88148161,747.1523438,72.9296875,820.0820313,287.3311799999989,96.72767999999898,138.77921500000002,-237.56699999989905
1721,38.39693231,123.6709729,33.08832181,2.200496819,24.75117719,15.84826793,-23.29791077,-8.240474926,-11.62675987,10.97820928,743.9335938,73.5234375,817.4570313,287.3311899999997,96.72766999999993,138.77921500000002,-1124.189000000115
1722,38.21157696,123.4654205,32.93671304,2.339276034,24.71054213,15.70441229,-23.01057959,-8.272798306,-11.64028998,11.07493696,739.7460938,73.953125,813.6992188,287.33118000000246,96.72768000000076,138.77921500000002,-767.5619999999981
1723,38.02012229,123.2506133,32.78079632,2.502887446,24.66547294,15.56318823,-22.72934456,-8.297834261,-11.65406351,11.16386509,737.8320313,73.953125,811.7851563,281.2350299999977,88.92812999999933,163.61141199999983,-278.0310000000554
1724,37.82866762,123.0358061,32.62487959,2.666498859,24.62040374,15.42196416,-22.44810953,-8.322870216,-11.66783703,11.25279322,734.3242188,74.06640625,808.390625,281.23503000000125,88.92812999999933,163.6114129999999,175.80000000020846
1725,37.63721296,122.8209988,32.46896287,2.830110271,24.57533455,15.2807401,-22.16687451,-8.347906171,-11.68161056,11.34172135,729.8671875,73.7421875,803.609375,281.2350200000004,88.9281300000011,163.61141200000029,642.5609999998869
1726,37.44575829,122.6061916,32.31304615,2.993721684,24.53026535,15.13951604,-21.88563948,-8.372942126,-11.69538409,11.43064948,728.2480469,73.7421875,801.9902344,281.23503000000125,88.92812999999933,163.6114129999999,-407.59699999989607
