Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
898,-3.07535959,85.22432256,-5.977767986,40.10686187,4.363809329,-10.87367272,2.545455231,-1.596449643,-1.316265817,-0.265700041,-1.697265625,543.0898438,541.3925781,7.328746999999858,-18.20176809999999,-15.98356999999595
899,-3.093990297,85.21097117,-5.997853948,40.09087829,4.373204534,-10.87233724,2.552783978,-1.558470386,-1.328598915,-0.2839018092,-1.359375,544.2578125,542.8984375,7.328746999999858,-18.201768200000025,-15.983580000003883
900,-3.112621004,85.19761978,-6.01793991,40.07489472,4.382599739,-10.87100176,2.560112724,-1.520491129,-1.340932013,-0.3021035774,-1.38671875,544.8730469,543.4863281,7.328746000000219,-18.201768199999968,-15.98356999999595
901,-3.130141733,85.18275515,-6.040104636,40.05770148,4.392912218,-10.87000816,2.567155513,-1.48070412,-1.352487707,-0.3196599183,-1.701171875,545.3046875,543.6035156,7.042788999999772,-17.556340900000023,-17.19324000000455
902,-3.147662463,85.16789053,-6.062269361,40.04050824,4.403224697,-10.86901455,2.574198301,-1.440917111,-1.3640434,-0.3372162592,-1.697265625,545.5957031,543.8984375,7.042788000000133,-17.556340899999967,-17.193239999997445
903,-3.165183193,85.15302591,-6.084434087,40.023315,4.413537176,-10.86802095,2.58124109,-1.401130102,-1.375599093,-0.3547726002,-2.345703125,546.640625,544.2949219,7.042788999999772,-17.55634100000003,-17.19324000000455
904,-3.182703922,85.13816128,-6.106598812,40.00612176,4.423849654,-10.86702735,2.588283878,-1.361343092,-1.387154787,-0.3723289411,-2.345703125,546.9375,544.5917969,7.042788000000133,-17.556340899999967,-17.193239999997445
905,-3.200224652,85.12329666,-6.128763538,39.98892852,4.434162133,-10.86603375,2.595326666,-1.321556083,-1.39871048,-0.3898852821,-2.037109375,547.3710938,545.3339844,7.042788000000133,-17.55634100000003,-17.193239999997445
906,-3.216431489,85.10687817,-6.153093925,39.97075657,4.445278454,-10.86548135,2.60202224,-1.28023248,-1.409451299,-0.4066107615,-2.009765625,547.6621094,545.6523438,6.695574000000093,-16.725479399999966,-18.171950000002823
907,-3.232638325,85.09045967,-6.177424312,39.95258463,4.456394775,-10.86492896,2.608717813,-1.238908877,-1.420192117,-0.423336241,-2.333984375,548.3984375,546.0644531,6.69557300000001,-16.725479500000027,-18.171940000001996
908,-3.248845162,85.07404118,-6.201754699,39.93441268,4.467511096,-10.86437657,2.615413387,-1.197585275,-1.430932936,-0.4400617205,-2.052734375,549.1328125,547.0800781,6.695573999999649,-16.725479499999974,-18.171949999995718
909,-3.265051998,85.05762268,-6.226085086,39.91624074,4.478627417,-10.86382417,2.62210896,-1.156261672,-1.441673755,-0.4567872,-2.052734375,549.8808594,547.828125,6.69557300000001,-16.725479500000027,-18.171940000001996
910,-3.281258835,85.04120419,-6.250415473,39.89806879,4.489743738,-10.86327178,2.628804534,-1.114938069,-1.452414574,-0.4735126795,-1.697265625,550.1699219,548.4726563,6.695574000000093,-16.725479499999974,-18.171949999995718
911,-3.295937372,85.02321782,-6.27697315,39.87910545,4.501542987,-10.86323847,2.635097177,-1.072370549,-1.462328656,-0.4892067713,-2.01953125,551.5136719,549.4941406,6.292643000000098,-15.694091800000031,-18.963340000006212
912,-3.310615908,85.00523144,-6.303530826,39.86014211,4.513342235,-10.86320516,2.641389821,-1.029803028,-1.472242739,-0.5049008632,-2.65625,552.5585938,549.9023438,6.29264400000018,-15.69409190000004,-18.963339999999107
913,-3.325294445,84.98724507,-6.330088502,39.84117877,4.525141483,-10.86317186,2.647682465,-0.9872355082,-1.482156821,-0.5205949551,-2.375,552.9921875,550.6171875,6.292643999999736,-15.694091899999929,-18.963339999999107
914,-3.339972982,84.9692587,-6.356646178,39.82221543,4.536940732,-10.86313855,2.653975108,-0.944667988,-1.492070903,-0.5362890469,-2.03125,553.6015625,551.5703125,6.292643000000098,-15.694091800000031,-18.963339999999107
915,-3.354651518,84.95127233,-6.383203854,39.8032521,4.54873998,-10.86310524,2.660267752,-0.9021004678,-1.501984986,-0.5519831388,-1.7109375,554.9609375,553.25,6.29264400000018,-15.69409190000004,-18.96332999999828
916,-3.367585581,84.93173257,-6.412021917,39.7836359,4.561096012,-10.86364376,2.666108935,-0.8586011831,-1.51108555,-0.5664367072,-2.005859375,555.2519531,553.2460938,5.8411829999998055,-14.453568399999893,-19.616200000001527
917,-3.380519643,84.91219281,-6.44083998,39.76401971,4.573452044,-10.86418228,2.671950118,-0.8151018985,-1.520186114,-0.5808902755,-1.697265625,556.3105469,554.6132813,5.8411829999998055,-14.453568300000107,-19.6161900000007
918,-3.393453706,84.89265305,-6.469658043,39.74440352,4.585808076,-10.8647208,2.677791301,-0.7716026138,-1.529286677,-0.5953438439,-1.72265625,557.3515625,555.6289063,5.84118300000025,-14.453568399999893,-19.6161900000007
919,-3.406387768,84.87311328,-6.498476107,39.72478733,4.598164108,-10.86525932,2.683632484,-0.7281033291,-1.538387241,-0.6097974123,-1.048828125,557.3515625,556.3027344,5.8411829999998055,-14.453568400000005,-19.6161900000007
920,-3.419321831,84.85357352,-6.52729417,39.70517114,4.61052014,-10.86579783,2.689473667,-0.6846040445,-1.547487805,-0.6242509806,-1.048828125,558.71875,557.6699219,5.84118300000025,-14.453568299999997,-19.6161900000007
921,-3.430304267,84.83252571,-6.558372896,39.6849897,4.62330468,-10.86693291,2.694823659,-0.6405008147,-1.555808448,-0.6372549196,-0.748046875,559.0390625,558.2910156,5.349991999999748,-13.003939000000075,-20.181439999994666
922,-3.441286704,84.81147789,-6.589451623,39.66480825,4.636089219,-10.86806798,2.700173651,-0.5963975849,-1.564129091,-0.6502588586,-1.046875,559.3417969,558.2949219,5.349992000000192,-13.003938999999963,-20.1814500000026
923,-3.452269141,84.79043008,-6.62053035,39.64462681,4.648873758,-10.86920306,2.705523642,-0.5522943552,-1.572449734,-0.6632627976,-0.400390625,559.78125,559.3808594,5.349991000000109,-13.003938999999963,-20.18144000000177
924,-3.463251577,84.76938227,-6.651609077,39.62444536,4.661658298,-10.87033813,2.710873634,-0.5081911254,-1.580770377,-0.6762667366,-0.119140625,560.4101563,560.2910156,5.349991999999748,-13.003939000000075,-20.181449999995493
925,-3.474234014,84.74833445,-6.682687804,39.60426392,4.674442837,-10.87147321,2.716223626,-0.4640878956,-1.58909102,-0.6892706756,-0.119140625,560.84375,560.7246094,5.349992000000192,-13.003938999999963,-20.18144000000177
926,-3.483077227,84.72585647,-6.71599066,39.5835566,4.687529684,-10.87320083,2.721051998,-0.419719002,-1.596684131,-0.7006256028,-0.119140625,561.1464844,561.0273438,4.82837199999997,-11.354927199999976,-20.70731999999964
927,-3.491920441,84.70337848,-6.749293517,39.56284928,4.700616531,-10.87492845,2.72588037,-0.3753501084,-1.604277243,-0.71198053,0.19921875,561.4667969,561.6660156,4.82837199999997,-11.354927199999976,-20.70731999999964
