	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d
18	18.00000	0.06800	100.24741	88.95956	-23.39608	-22.72715	56.84535	-15.90214	19.57679	-36.67248	-3.21242	-7.98881	0.03007	3.48121	-6.70819	40.56389	33.33319	106.98087	37.79679	-51.79293	-38.12655	-1.79662	43.42157	0.44877	0.46570	0.03633	0.00942	
19	19.00000	0.07200	100.57681	89.24557	-23.16679	-22.79310	56.74803	-16.08561	19.88673	-36.54657	-3.49484	-7.79708	-0.12717	3.49102	-7.04021	58.76540	9.91691	63.44684	75.83842	-7.33014	-56.56424	12.77128	31.07045	0.44898	0.46530	-0.17103	0.05580	
20	20.00000	0.07600	100.76335	89.56657	-24.49598	-22.82716	57.79984	-15.66020	19.90366	-37.35214	-3.13241	-7.70068	-0.05314	3.58691	-7.09130	66.50378	52.00246	10.01930	25.42354	-32.13390	-106.54353	51.20065	-0.86495	0.44892	0.46501	-0.29146	0.08704	
21	21.00000	0.08000	100.65025	89.44834	-24.58926	-22.72030	57.80225	-16.44763	20.02744	-37.05885	-3.09036	-7.79569	-0.21145	3.69726	-7.15262	41.23540	24.17118	-20.74412	-19.81492	3.09683	-55.64539	18.63043	-48.60461	0.44883	0.46457	-0.26345	0.08349	
22	22.00000	0.08400	100.59725	89.40053	-24.72985	-22.60385	58.04033	-16.08045	20.10081	-37.40244	-2.96482	-8.12642	-0.28609	3.55747	-7.24150	19.06624	2.53279	-5.75318	-29.06617	-3.91613	12.88741	41.05873	-63.75753	0.44863	0.46436	-0.11857	-0.03547	
23	23.00000	0.08800	100.59476	89.21454	-25.02358	-22.84686	58.17157	-16.01582	19.99125	-37.36142	-2.74199	-8.38324	-0.28267	3.56404	-7.30553	-9.08784	-22.82588	16.00148	-10.44961	-23.14322	60.32943	41.92870	-19.94881	0.44851	0.46448	0.00404	-0.20562	
24	24.00000	0.09200	100.71317	89.31854	-26.14297	-23.01007	59.15617	-15.19626	19.84420	-37.75093	-2.62142	-8.39649	-0.19523	3.54916	-7.35124	-59.39399	10.97781	-6.28969	-33.82543	-34.09916	23.56745	8.22458	-0.89920	0.44849	0.46479	0.00255	-0.35104	
25	25.00000	0.09600	100.56289	88.94324	-26.66180	-23.31225	59.40842	-15.22379	19.66044	-37.91743	-2.68093	-8.49109	-0.01246	3.54061	-6.73423	-43.16591	26.30530	-78.05236	-103.44418	-7.23873	-63.65999	12.43828	-3.51839	0.44803	0.46493	-0.08445	-0.28866	
26	26.00000	0.10000	100.10283	88.50728	-24.67256	-23.01058	57.74650	-17.93822	20.17122	-35.68155	-2.54007	-8.43598	-0.30045	3.44695	-6.74056	-13.83745	-27.76150	-119.82275	-46.61334	13.50332	-50.15764	-3.11358	-10.32951	0.44781	0.46542	-0.13887	0.02733	
27	27.00000	0.10400	99.58968	88.56477	-23.56695	-22.71510	56.67152	-18.08369	20.38593	-35.62801	-2.72689	-8.50497	-0.37121	3.49549	-6.79573	1.03288	9.40157	-66.08668	7.09056	-37.07174	-61.35261	-8.01982	-26.82137	0.44786	0.46533	-0.07564	0.30592	
28	28.00000	0.10800	99.57491	88.56268	-24.81645	-22.59570	57.58371	-17.03581	20.29909	-37.01822	-2.62349	-8.56522	0.07385	3.39427	-6.71025	32.57797	11.29136	2.48146	1.32512	-64.45454	-53.60128	27.97701	-29.73547	0.44806	0.46535	0.01800	0.41274	
29	29.00000	0.11200	99.61145	88.57988	-24.22183	-22.55874	56.76050	-17.50703	20.38746	-36.59774	-2.50715	-8.69134	-0.03945	3.50194	-7.00576	30.89720	-37.36902	38.81338	26.12183	-57.99455	6.74206	67.21970	-29.98013	0.44826	0.46536	0.05339	0.39045	
30	30.00000	0.11600	99.88542	88.76934	-24.62567	-22.74981	56.94330	-16.87840	20.24147	-37.11191	-2.08521	-8.82288	0.04675	3.55185	-7.29188	22.47817	32.45945	100.55933	14.08258	-113.34637	-18.54090	61.63715	-18.04344	0.44850	0.46516	0.08147	0.35127	
31	31.00000	0.12000	100.41688	88.69946	-25.88362	-23.07983	57.38599	-16.56807	19.81443	-37.62740	-2.00301	-8.89596	0.18635	3.57731	-6.96361	-11.83895	63.43525	79.85331	-42.61893	-125.32168	-32.62900	71.36682	-21.74603	0.44845	0.46531	-0.00851	0.31980	
32	32.00000	0.12400	100.52628	88.42323	-25.12686	-22.99993	56.40277	-17.93708	19.81932	-36.37630	-1.49840	-9.05020	-0.14326	3.58644	-6.67874	-36.60979	-23.41983	51.64501	-5.75380	5.04660	57.40757	59.07503	-21.84068	0.44814	0.46542	-0.05038	0.16846	
33	33.00000	0.12800	100.82052	88.66517	-25.00568	-23.03447	56.61834	-17.22702	19.76795	-36.54837	-1.52057	-9.08830	-0.28768	3.52425	-6.81090	-40.95934	-25.62455	68.71583	10.33767	95.36063	96.07189	46.11211	11.47357	0.44757	0.46570	0.01207	-0.20478	
34	34.00000	0.13200	101.04642	88.51525	-25.38180	-23.45510	57.40070	-16.27460	19.39306	-37.17245	-1.12681	-8.95473	-0.16420	3.46289	-6.52036	-49.81767	-2.29141	53.65610	15.82043	138.49463	62.72225	58.14141	42.80687	0.44709	0.46572	0.01976	-0.54210	
35	35.00000	0.13600	101.24265	88.78344	-25.86482	-23.80094	58.51464	-14.88601	19.33082	-38.25413	-1.06639	-8.75866	-0.01645	3.26955	-6.42880	-22.90277	-19.59439	1.34599	29.32202	165.47594	9.38980	20.08824	43.47184	0.44689	0.46538	-0.06431	-0.58237	
36	36.00000	0.14000	101.04983	88.73971	-24.49756	-23.90835	57.91717	-15.84072	19.44683	-37.50710	-0.98905	-8.61285	-0.19120	3.28346	-6.48466	-2.46581	-10.93139	-63.89556	-9.48802	92.82383	-61.84423	18.85807	25.42501	0.44684	0.46518	-0.15422	-0.29674	
37	37.00000	0.14400	100.71754	88.70805	-25.71303	-23.71209	59.11895	-14.65861	19.32586	-38.96333	-0.94533	-8.55986	0.16992	3.17721	-6.50776	31.54525	-2.88182	-136.94960	-36.16790	-37.64557	-60.63607	-16.18668	-38.75780	0.44696	0.46489	-0.15037	0.11794	
