	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d
18	18.00000	0.06800	96.41093	79.41769	29.62968	-24.37517	2.35642	-43.40064	30.30450	-10.80770	-8.75841	-10.73561	0.24870	-12.01101	-1.45899	-2.83191	25.48718	74.62666	-10.81753	-97.87585	35.28699	10.55440	44.30555	0.42603	0.39511	-0.13310	0.19452	
19	19.00000	0.07200	96.65155	79.40186	29.33290	-24.01567	2.10613	-43.49741	30.02603	-10.61324	-8.67096	-10.47488	0.17117	-11.90566	-1.11294	-5.80834	35.54638	31.17140	-32.50427	-115.45192	25.97175	40.87837	41.08772	0.42651	0.39505	-0.18344	0.18965	
20	20.00000	0.07600	96.66123	79.15616	29.23833	-23.62822	1.79057	-43.48740	30.04022	-10.52436	-8.43197	-10.40773	0.22101	-11.97638	-1.13136	33.39055	18.69629	-3.32304	-58.98531	-80.02092	54.96056	79.55718	6.80781	0.42662	0.39533	-0.20775	0.08845	
21	21.00000	0.08000	96.62854	78.92685	28.91160	-23.59917	1.85227	-43.65308	29.87031	-10.03881	-8.03457	-10.45140	0.18852	-12.01400	-1.20303	1.87338	7.71681	-43.86361	-27.24376	-9.47915	83.06327	71.04670	20.35351	0.42679	0.39563	-0.24126	-0.16088	
22	22.00000	0.08400	96.31797	78.93978	29.45504	-23.75073	1.51634	-43.48211	30.04533	-9.86444	-7.86370	-10.30328	0.07386	-12.11907	-1.06735	-27.78205	-14.16748	-116.48632	11.77381	69.18566	57.15762	45.50309	14.65643	0.42702	0.39602	-0.25824	-0.29252	
23	23.00000	0.08800	95.69776	79.02208	30.04282	-23.71883	1.37025	-42.88609	30.00266	-10.24646	-7.67057	-10.39647	0.31840	-12.14819	-1.08353	-18.73418	-15.47027	-78.17546	-0.78420	117.21674	18.14553	31.13313	-5.27258	0.42700	0.39617	-0.20559	-0.32341	
24	24.00000	0.09200	95.69358	78.93153	29.63685	-23.79588	2.28754	-42.86972	30.04354	-10.24969	-7.61369	-10.38119	0.48512	-12.07285	-1.01831	-26.99505	1.91939	-11.86516	-42.52503	76.10676	16.54153	-1.20307	9.33272	0.42672	0.39627	-0.10323	-0.31305	
25	25.00000	0.09600	95.60478	78.68293	30.08884	-23.68794	1.93700	-43.32814	30.12290	-9.73210	-7.68022	-10.32299	0.25873	-12.09991	-0.84344	-13.61024	44.66542	-24.74370	-80.32759	32.35229	-37.35624	-4.27540	-5.37178	0.42649	0.39600	-0.01870	-0.25881	
26	26.00000	0.10000	95.49366	78.28711	29.65500	-23.97094	2.53002	-44.04812	30.01333	-9.52692	-7.64749	-10.39879	0.40533	-11.90803	-0.56381	8.12267	23.48459	-10.27542	-102.42416	65.09930	-50.58168	9.96595	-30.58151	0.42619	0.39573	0.01596	-0.14918	
27	27.00000	0.10400	95.52197	77.86388	30.26479	-24.48622	2.29600	-44.63860	30.14082	-9.00449	-7.60037	-10.53022	0.24039	-11.93023	-0.72060	0.86098	8.20586	-6.42647	-105.08356	31.91766	-29.01088	-13.94037	-20.50676	0.42594	0.39579	0.00716	-0.01179	
