	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d
17	17.00000	0.06400	107.42081	109.75706	56.05110	-36.54021	-30.01307	-55.72264	32.73869	18.73595	-2.93044	-40.31187	4.09239	-5.67611	-1.05208	8.69230	0.04008	158.99437	-46.45526	-173.25343	31.65541	-57.86758	34.25455	0.50513	0.46514	-0.16281	0.16081	
18	18.00000	0.06800	107.92165	109.46982	55.28413	-36.50785	-30.06647	-56.61835	33.00376	19.57969	-2.96716	-40.13720	4.01094	-5.71284	-1.16654	10.32323	6.30732	102.85894	-103.04613	-153.27905	26.40271	-20.54284	46.32073	0.50524	0.46496	-0.06916	0.02703	
19	19.00000	0.07200	108.24771	108.93253	54.99417	-35.98785	-30.39059	-57.47060	33.24123	20.41278	-3.03151	-39.84489	3.96418	-5.78996	-1.06754	-37.87517	-22.98371	62.08385	-86.31927	-77.06711	15.57039	-34.87514	78.50934	0.50545	0.46491	-0.07809	-0.17112	
20	20.00000	0.07600	108.38164	108.78054	55.12459	-35.65015	-30.55410	-57.36611	33.50684	20.33059	-3.22413	-39.42819	3.99656	-6.05660	-1.04105	3.97741	2.83829	4.63349	-28.53058	3.54615	-32.88225	3.30548	70.02718	0.50604	0.46479	-0.13291	-0.40882	
21	21.00000	0.08000	108.26936	108.70526	54.95219	-35.73993	-30.32850	-57.75957	33.80303	20.39134	-2.97276	-39.30974	3.92921	-6.12396	-1.07029	41.98629	10.71848	-34.60322	32.84212	73.07195	-68.89334	31.06869	56.36499	0.50626	0.46495	-0.17636	-0.57385	
22	22.00000	0.08400	108.10464	109.04329	55.22932	-35.39077	-30.05528	-57.12358	33.20624	19.57698	-2.97283	-39.04800	4.29193	-6.18477	-1.30166	19.95206	-45.50581	-39.68616	84.22254	71.05956	-61.25863	39.62740	72.67267	0.50672	0.46501	-0.23995	-0.52108	
23	23.00000	0.08800	107.93059	109.37850	55.87741	-34.72842	-30.51505	-56.32946	32.43071	18.70367	-2.80326	-38.65837	4.58459	-6.15001	-1.62565	-34.85710	-39.10542	-57.33394	36.79607	-19.97004	-42.82877	23.54257	97.94141	0.50734	0.46552	-0.26575	-0.38904	
24	24.00000	0.09200	107.64796	109.33769	56.41983	-34.87174	-31.19090	-56.34393	32.12944	18.57780	-2.95030	-38.20022	4.45899	-6.00346	-1.33686	-87.57510	-48.50101	-56.64354	-42.17244	-58.45517	-16.10469	-8.82508	108.30550	0.50803	0.46597	-0.31005	-0.24121	
25	25.00000	0.09600	107.47421	109.04478	56.87119	-35.10252	-31.79923	-56.01337	32.28057	18.30721	-2.98179	-37.76064	4.40274	-5.92116	-1.29415	-66.77480	-110.94669	47.19228	-38.75281	-97.24583	21.61856	-1.48728	92.25858	0.50857	0.46629	-0.37088	0.08647	
26	26.00000	0.10000	108.05427	109.01663	57.11683	-33.74556	-32.54221	-54.92852	31.20952	17.55007	-2.97188	-37.45412	5.07701	-5.74463	-1.72611	-83.71936	-113.63100	83.31558	-17.50602	-169.61711	50.61689	-27.71280	109.51237	0.50900	0.46619	-0.35447	0.25370	
