	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d
18	18.00000	0.06800	102.11304	88.71182	-3.25028	-15.26562	34.79198	2.20799	19.20232	-45.03359	-1.11203	-8.01851	-2.45048	-0.45897	-4.39429	10.27852	22.18875	7.76832	119.99233	58.48712	54.61702	-6.97969	13.99493	0.53418	0.48683	-0.18745	-0.19543	
19	19.00000	0.07200	102.24574	89.27547	-2.35261	-15.44086	34.26798	2.54446	19.41468	-45.11730	-1.09583	-7.89772	-2.52335	-0.51970	-4.41115	15.59884	-8.59994	14.96419	87.42824	107.88116	42.74158	6.40473	28.38638	0.53417	0.48701	-0.15557	-0.24320	
20	20.00000	0.07600	102.22895	89.40565	-3.49223	-15.49243	35.88798	3.71073	19.51154	-46.10960	-1.06198	-7.79653	-2.09843	-0.56212	-4.57330	-6.67373	0.79279	24.87681	17.39526	53.81977	-19.76620	18.40778	13.84602	0.53405	0.48691	-0.20311	-0.23845	
21	21.00000	0.08000	102.43228	89.39094	-3.94851	-15.59590	36.23584	2.59611	19.57294	-45.32447	-0.94841	-7.78269	-2.14785	-0.48806	-4.36927	-20.17162	8.00805	56.62941	-46.16401	-41.83214	-51.91727	37.48185	-3.41176	0.53386	0.48660	-0.25374	-0.11538	
22	22.00000	0.08400	102.67198	89.03568	-4.73768	-15.50866	36.75299	1.80018	19.50431	-44.72502	-0.76044	-7.81486	-2.07738	-0.45645	-4.35565	-17.75597	-20.34572	44.00311	-104.02857	-75.18964	-35.75233	29.00572	-18.68694	0.53365	0.48646	-0.25885	0.07442	
23	23.00000	0.08800	102.78454	88.55317	-3.74046	-15.36763	35.43335	-0.15992	19.52781	-43.01332	-0.71626	-7.92102	-2.26405	-0.52600	-4.38195	-47.79596	-17.23835	34.43705	-86.46837	-74.35041	-7.97519	-90.71581	88.72638	0.53352	0.48648	-0.16400	0.19618	
24	24.00000	0.09200	102.94566	88.34102	-3.25051	-15.27983	34.72401	-0.27429	19.34278	-42.83410	-1.48586	-7.09681	-2.16316	-0.57478	-4.10730	-36.66621	6.71965	-2.65009	-37.23676	-35.75131	-12.73468	25.83237	-46.40529	0.53503	0.48699	-0.07877	0.17706	
25	25.00000	0.09600	102.76201	88.25799	-2.72962	-15.26922	34.17187	0.12145	19.35020	-43.38065	-0.51595	-8.29195	-1.86841	-0.69791	-4.05688	12.99473	26.01473	-57.87619	8.40559	5.78976	-41.76064	-10.13271	-21.11696	0.53312	0.48682	-0.09038	0.02412	
26	26.00000	0.10000	102.48367	88.40775	-2.15013	-15.32832	33.70892	0.50543	19.38798	-43.90399	-1.56710	-7.27769	-1.65502	-0.75157	-4.02728	81.22647	29.75394	-71.63175	94.59632	45.74947	-31.27237	35.89350	-12.28171	0.53410	0.48632	-0.08738	-0.13808	
27	27.00000	0.10400	102.19368	89.01545	0.35275	-15.40539	31.56425	0.31210	19.72046	-43.81018	-0.22349	-8.38951	-1.78515	-0.95434	-4.41984	74.64167	20.40788	-60.98925	129.74503	50.46709	-21.51364	194.64792	-162.83211	0.53274	0.48668	-0.10437	-0.18715	
28	28.00000	0.10800	101.98519	89.44514	-0.16637	-15.30028	32.20124	1.10909	19.77814	-44.64459	-0.01362	-8.56422	-1.61935	-0.95386	-4.43968	-74.28499	12.10460	-38.83157	102.82439	34.43751	-20.75452	-138.92853	105.71519	0.53265	0.48644	-0.11084	-0.15149	
29	29.00000	0.11200	101.88396	89.83858	-0.37637	-15.31864	32.54298	1.85390	19.84647	-45.42705	-1.33507	-7.54471	-1.49571	-0.94896	-3.79715	11.99548	8.20434	-52.05392	64.48775	33.81273	15.86863	48.85260	-61.45241	0.53361	0.48601	-0.01314	-0.13494	
30	30.00000	0.11600	101.56973	89.95419	1.41121	-15.34640	30.94990	1.54424	19.87461	-44.92693	0.37764	-9.03893	-1.59800	-1.06216	-4.46539	77.73588	-5.91935	-84.96530	-14.52754	67.21574	47.01706	217.07304	-196.54594	0.53228	0.48643	0.07851	-0.11438	
31	31.00000	0.12000	101.20197	89.72272	2.53857	-15.60350	30.27006	1.84797	19.78504	-45.04527	0.39887	-9.10472	-1.36205	-1.17006	-4.42346	-39.66365	10.40790	-58.66159	-48.47519	75.88586	31.40903	-13.01762	2.54470	0.53231	0.48682	0.06414	-0.05922	
32	32.00000	0.12400	101.09823	89.56611	3.70803	-16.00793	29.34449	1.57504	19.67747	-44.70475	0.27365	-9.00915	-1.33133	-1.21797	-4.06357	-11.21378	30.80204	26.95370	-55.06490	54.81671	-3.12354	-12.39577	1.81572	0.53254	0.48722	-0.07555	-0.02132	
33	33.00000	0.12800	101.41898	89.27612	3.70113	-16.47372	29.58832	0.73612	19.66951	-44.02301	0.29948	-9.07820	-1.35814	-1.21238	-4.06962	43.15981	18.80865	105.98557	-51.48101	77.88345	-12.87028	45.71469	-31.52299	0.53250	0.48742	-0.19409	-0.02079	
34	34.00000	0.13200	101.94466	89.15671	3.34966	-16.80165	30.31080	0.78757	19.66494	-44.06642	0.63928	-9.25740	-1.34044	-1.29320	-4.23765	11.02264	5.37994	142.30675	-20.29911	90.17881	-7.98686	31.78734	-18.06058	0.53240	0.48728	-0.20727	-0.00084	
35	35.00000	0.13600	102.55636	89.11285	1.50259	-16.92493	32.41367	1.41928	19.69505	-44.73016	0.55367	-9.23471	-1.09576	-1.39819	-4.14580	18.26460	-0.78694	116.52596	-8.63885	58.11110	-20.61899	-0.91489	-27.53266	0.53240	0.48702	-0.14796	0.03442	
36	36.00000	0.14000	102.87594	89.08803	2.04976	-17.06814	32.01998	0.16719	19.82723	-43.64762	0.63203	-9.48343	-1.21262	-1.47616	-4.36628	32.02301	1.66647	62.57228	11.65786	-1.56251	-23.11904	22.32786	-39.03944	0.53174	0.48700	-0.00023	0.08704	
37	37.00000	0.14400	103.04850	89.20548	1.15624	-16.99655	32.73215	0.00034	19.84404	-43.57998	0.73160	-9.56048	-1.01104	-1.49770	-4.34779	-22.39336	3.36507	-3.07736	33.54522	-75.90046	7.62187	-15.95397	2.67970	0.53152	0.48687	0.13901	0.13771	
38	38.00000	0.14800	102.84684	89.35629	1.78450	-16.71583	31.66611	-1.07968	19.88557	-42.41397	0.50339	-9.46638	-1.15494	-1.55968	-4.17483	-19.24410	-14.41934	-29.89529	44.67033	-95.78758	48.27169	-22.37930	-3.38215	0.53146	0.48679	0.20877	0.23456	
39	39.00000	0.15200	102.80988	89.56589	-0.87704	-16.36511	33.91427	1.51519	19.61170	-44.61924	0.55309	-9.58888	-0.46433	-1.61320	-4.32323	-19.05832	-9.46547	-39.69826	7.04722	-107.55362	8.48174	-12.47261	-1.88830	0.53127	0.48686	0.15482	0.27464	
40	40.00000	0.15600	102.52657	89.42001	0.52641	-16.18644	32.01110	-0.14085	19.68711	-43.22944	0.40301	-9.47499	-0.61903	-1.69931	-4.10639	-5.51441	18.69991	-58.19057	-10.55117	-88.89903	-21.17074	6.68205	10.89008	0.53122	0.48683	0.05240	0.14886	
41	41.00000	0.16000	102.33906	89.47705	2.03132	-16.16892	30.40965	-0.29377	19.72033	-43.08509	0.60670	-9.49887	-0.61098	-1.79132	-4.14499	42.01211	14.44894	-41.66732	-17.42810	3.06581	-11.93439	46.67963	-8.55352	0.53133	0.48653	0.00925	-0.02217	
42	42.00000	0.16400	102.19183	89.28121	1.65106	-16.12370	30.95594	0.01151	19.59774	-43.46831	0.77673	-9.55575	-0.31786	-1.75678	-4.35347	-41.92103	10.78206	-28.53739	-19.82796	55.54234	15.68742	0.19887	20.06272	0.53129	0.48629	0.03891	-0.15763	
43	43.00000	0.16800	102.11309	89.31124	2.49294	-16.17761	30.41048	-0.32636	19.62803	-42.92894	0.60778	-9.34080	-0.30990	-1.76284	-3.77525	21.16667	18.74404	-17.19584	18.44763	37.18032	68.77680	12.62881	2.32716	0.53132	0.48588	0.08856	-0.20437	
44	44.00000	0.17200	102.04749	89.42669	1.83516	-15.86914	31.07742	-0.69172	19.74851	-42.25580	0.87659	-9.53951	-0.27705	-1.79345	-4.38617	15.57640	20.44868	-4.66740	32.93156	-13.39002	89.79193	-14.82711	20.08352	0.53117	0.48565	0.12670	-0.18569	
