	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d
18	18.00000	0.06800	103.27177	79.32535	29.59296	-20.15706	2.11783	-61.81787	19.64013	27.21379	-16.50558	-9.31198	5.59756	3.66111	-2.00527	28.86313	-13.92771	-110.57336	-0.14935	50.83132	-58.83241	29.30778	25.41925	0.33116	0.38184	-0.81033	-0.23105	
19	19.00000	0.07200	103.07354	79.39887	28.61232	-20.03850	3.12086	-60.29683	19.11694	25.60825	-16.45005	-9.31083	5.80911	3.53515	-2.17452	27.08778	4.87168	-11.53147	-18.04618	5.32926	-43.17599	9.21617	14.60436	0.33146	0.38172	-0.56510	-0.31260	
20	20.00000	0.07600	103.17953	79.17920	27.79150	-19.97470	3.85125	-60.24218	19.19502	25.38087	-16.42372	-9.20580	5.72757	3.59130	-2.19059	14.93729	32.91885	9.27569	-100.29752	12.18296	-63.84185	-3.89293	11.51562	0.33184	0.38194	-0.28104	-0.37450	
21	21.00000	0.08000	103.14207	78.59637	27.88024	-20.25079	3.90693	-60.56762	19.80176	25.35187	-16.47153	-9.17255	5.53578	3.44034	-2.02929	-0.33755	32.76954	-10.46101	-158.11336	56.21798	-48.55037	-10.75361	-0.15533	0.33196	0.38198	-0.10224	-0.39823	
22	22.00000	0.08400	103.10277	77.91516	26.67730	-19.64817	5.34708	-60.68066	19.72032	25.40493	-16.50363	-9.15127	5.83078	3.34607	-1.92297	-3.55813	-1.44606	16.17015	-133.75458	112.78106	-20.02680	-3.17325	-2.78303	0.33194	0.38215	-0.10027	-0.42626	
23	23.00000	0.08800	103.26299	77.52130	26.25409	-19.53974	6.34008	-60.56151	20.03775	25.18630	-16.49514	-9.17844	5.80414	3.30473	-2.00631	-0.16410	13.66255	-21.87345	-66.20620	84.67911	-58.12781	10.53151	-4.59054	0.33185	0.38253	-0.22937	-0.37666	
24	24.00000	0.09200	102.92945	77.38476	26.31958	-19.51055	6.36136	-60.35790	20.12911	24.63736	-16.42134	-9.21907	5.71690	3.23433	-1.80151	-7.29003	20.16782	-76.31886	-42.11021	9.30729	-7.87201	32.92799	6.56860	0.33178	0.38295	-0.34886	-0.23121	
25	25.00000	0.09600	102.65287	77.18841	25.35374	-19.28297	7.26356	-59.96707	19.17954	24.56515	-16.23551	-9.17431	5.91092	3.30101	-1.77814	-14.88776	6.71766	-112.17865	-66.86393	-18.25141	6.65606	33.99687	25.01302	0.33165	0.38320	-0.43052	-0.12019	
26	26.00000	0.10000	102.03271	76.85159	26.00943	-19.65262	6.50840	-59.90608	18.83318	24.26337	-16.15060	-9.06229	5.81494	3.34856	-1.62561	-17.97892	15.09541	-122.42461	-63.97407	-31.89375	-57.63610	20.06189	35.56685	0.33156	0.38304	-0.46142	-0.12464	
27	27.00000	0.10400	101.67429	76.67780	27.64368	-20.05775	4.85109	-59.91381	19.04225	24.05365	-16.07283	-8.93607	5.18021	3.24124	-1.51102	-22.63630	-11.63756	-44.59966	-35.13515	25.56872	-47.49155	13.14778	30.53716	0.33144	0.38274	-0.44668	-0.19946	
