	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d
18	18.00000	0.06800	97.34205	84.34443	1.52429	-28.58308	29.37649	-12.44466	22.40323	-21.55912	-9.96031	-6.15044	1.08065	1.17500	1.01714	-10.56373	-47.97868	189.78543	122.45798	-69.85145	-104.70636	-99.24431	19.43633	0.49436	0.49583	0.20928	0.25168	
19	19.00000	0.07200	98.21423	84.99182	0.35522	-28.48802	30.14056	-12.02037	22.53652	-22.08849	-10.11376	-5.96204	1.02386	1.22469	0.71546	-9.55900	-58.06616	191.88948	139.43159	-54.71935	3.06379	-37.40515	55.88884	0.49443	0.49585	0.40063	0.30781	
20	20.00000	0.07600	98.87520	85.46582	-0.33560	-28.48867	30.57347	-11.54134	22.49354	-22.36886	-10.27608	-5.68642	0.97771	1.24243	0.62297	-44.34671	-48.63142	143.66229	93.25497	-35.68582	44.85464	-101.48814	43.54052	0.49495	0.49585	0.59643	0.32394	
21	21.00000	0.08000	99.36273	85.74149	-0.66508	-28.44801	30.75184	-11.58080	22.62428	-22.13590	-10.92297	-5.61616	0.93950	1.23553	0.64863	-15.23433	-24.59447	51.39046	41.44061	-22.69220	59.47138	-144.60588	27.65311	0.49539	0.49609	0.76820	0.35096	
22	22.00000	0.08400	99.28732	85.79953	-0.03941	-28.22614	30.13035	-12.21526	22.90982	-21.27171	-11.42708	-5.47448	0.89463	1.21968	0.52570	20.63517	0.08017	-34.87631	-46.68546	-26.79778	73.28489	-120.38548	26.17980	0.49612	0.49642	0.89523	0.42238	
23	23.00000	0.08800	99.08372	85.36675	1.03564	-27.82576	29.03778	-13.98642	23.06842	-19.33523	-11.90235	-5.40883	0.84360	1.21758	0.47456	17.23788	10.93007	-51.76760	-24.57845	-44.05227	34.22987	-139.01286	15.46757	0.49663	0.49662	0.81302	0.42907	
24	24.00000	0.09200	98.87234	85.60948	1.68258	-27.54403	28.25645	-14.74267	23.56963	-18.67007	-12.55003	-5.34997	0.79552	1.24180	0.46744	9.74158	-0.68068	-46.08085	86.53403	-52.65818	-13.57241	-145.90669	0.17707	0.49685	0.49674	0.54520	0.45430	
25	25.00000	0.09600	98.71475	86.06133	2.73334	-27.42012	27.11080	-14.86206	23.93302	-18.63962	-13.07494	-5.40628	0.75752	1.27978	0.39017	-11.78625	-29.40382	-4.14394	112.96262	-48.97331	-15.66037	-134.21664	-0.85690	0.49670	0.49691	0.35631	0.50811	
26	26.00000	0.10000	98.83958	86.51427	3.26242	-27.30459	26.46288	-14.76212	24.08419	-18.77748	-13.62552	-5.36364	0.72905	1.31150	0.32749	-37.25257	-56.98445	28.58358	89.27500	-28.22750	33.91809	-105.12646	23.36613	0.49671	0.49725	0.36332	0.52383	
27	27.00000	0.10400	98.94240	86.77451	3.91751	-27.43509	25.83269	-14.59833	23.90012	-18.60903	-13.91419	-5.24698	0.69735	1.33196	0.23515	-38.37056	-66.68672	21.29012	38.52716	12.73804	43.16187	-58.55162	64.00420	0.49706	0.49791	0.41475	0.49796	
28	28.00000	0.10800	99.00697	86.81792	4.63908	-27.75863	25.34298	-15.10583	23.81930	-18.11738	-14.09306	-4.89880	0.64282	1.34495	0.09541	-62.51595	-57.70267	-38.84422	-14.34140	34.58074	-0.81440	-73.54183	79.16554	0.49814	0.49827	0.50389	0.45027	
29	29.00000	0.11200	98.63148	86.65977	5.95127	-27.85702	24.31065	-16.19015	23.96950	-17.15950	-14.49158	-4.68294	0.56649	1.35149	0.25133	-45.47886	-41.42780	-60.44073	-12.17809	41.06417	-22.90696	-77.28269	54.82212	0.49896	0.49873	0.58318	0.38781	
30	30.00000	0.11600	98.52348	86.72050	7.06900	-28.12880	23.52298	-16.86229	24.04410	-16.69529	-14.69444	-4.52080	0.48364	1.35637	0.10639	2.18807	-27.56945	-41.37268	11.73061	25.10227	-44.58723	-37.61459	45.73859	0.49971	0.49875	0.65411	0.35389	
31	31.00000	0.12000	98.30082	86.75363	8.53765	-28.24797	22.23137	-17.99777	24.43306	-15.86603	-14.81957	-4.33965	0.39183	1.37276	0.01925	-26.71665	-18.17034	-17.98310	1.23389	-30.38458	-24.49885	-91.81203	-3.03347	0.49998	0.49884	0.72970	0.38293	
32	32.00000	0.12400	98.38010	86.73002	9.47707	-28.33090	21.15850	-19.16670	24.66088	-14.79300	-15.43010	-4.54170	0.28019	1.41708	0.18133	-31.49554	-13.10365	-28.76890	-34.40526	-110.14522	0.82931	-137.00046	-31.10323	0.49965	0.49898	0.67882	0.48547	
33	33.00000	0.12800	98.05338	86.47822	10.75553	-28.21052	19.39821	-20.83394	25.23891	-13.28310	-15.90902	-4.58918	0.15895	1.48746	0.17302	23.88078	-14.00884	-26.14610	-82.61144	-115.63416	12.31861	-76.02572	-55.04566	0.49931	0.49918	0.52589	0.47309	
34	34.00000	0.13200	98.19282	86.06773	11.14670	-28.44623	18.76167	-22.43634	25.28437	-11.73696	-16.04005	-4.93382	0.06102	1.55550	-0.07523	-22.75732	-20.04830	83.93242	-42.20668	-46.61028	12.80422	-94.99226	-68.73473	0.49853	0.49951	0.38374	0.28913	
35	35.00000	0.13600	98.72979	86.14059	10.67372	-28.44030	19.09652	-23.21463	25.52499	-11.02750	-16.66062	-5.07932	0.02710	1.58454	0.22804	-61.45014	-25.58039	109.67412	70.08754	9.83812	42.37005	-132.97472	2.50872	0.49808	0.50016	0.32916	0.29637	
36	36.00000	0.14000	99.07488	86.63516	10.87186	-28.66012	19.08278	-22.75567	25.07954	-11.11066	-17.10266	-4.91098	0.05768	1.57418	0.20098	-49.47463	-25.58511	90.62747	98.10245	41.77185	74.04032	-117.61992	71.51520	0.49864	0.50060	0.49935	0.39361	
37	37.00000	0.14400	99.45503	86.92539	10.90482	-28.67914	19.22780	-22.91998	25.23366	-10.70133	-17.60132	-4.52468	0.11748	1.55543	0.38002	-74.77340	-23.27024	45.63035	91.81576	13.66240	35.83028	-130.50626	132.61862	0.49973	0.50112	0.63829	0.51440	
38	38.00000	0.14800	99.44524	87.37025	11.71667	-28.51604	18.45054	-22.84779	25.26424	-10.74048	-18.14514	-3.87134	0.17113	1.56676	0.57079	-22.78341	-24.54590	9.24651	101.62943	6.38983	56.03707	-101.22437	157.66388	0.50111	0.50187	0.71530	0.50043	
39	39.00000	0.15200	99.52333	87.74473	12.47249	-28.94710	17.90155	-22.94552	25.20884	-10.22992	-18.41629	-3.25854	0.19213	1.61257	0.33891	10.71535	-28.97652	-29.88849	39.90910	-3.81099	7.07585	-85.68685	103.92300	0.50268	0.50226	0.77201	0.43815	
40	40.00000	0.15600	99.20986	87.70379	13.77006	-29.37151	16.62504	-24.30414	25.80045	-9.36862	-18.83534	-3.02426	0.16537	1.66922	0.21904	-0.81333	-32.01383	-77.07925	48.65036	-32.12642	-91.94283	-111.25311	14.37048	0.50360	0.50272	0.61120	0.44914	
41	41.00000	0.16000	98.90648	88.13572	14.84889	-29.65231	15.57283	-24.82063	26.13356	-9.27432	-19.29281	-3.11714	0.10504	1.71908	0.04927	40.19747	-32.71830	-73.23740	102.29568	11.81130	-65.71509	-100.24512	-18.71580	0.50402	0.50321	0.54662	0.34211	
42	42.00000	0.16400	98.61926	88.51978	15.91955	-30.13443	14.85155	-25.04047	26.32600	-9.23268	-19.62812	-3.15561	0.04089	1.76879	-0.39457	32.43789	-34.03101	-40.17517	79.00828	24.07135	-29.61662	-82.50696	-14.87694	0.50466	0.50354	0.58549	0.32429	
43	43.00000	0.16800	98.57984	88.77015	16.52925	-30.00404	14.31148	-25.44632	26.34494	-8.95061	-19.95497	-3.24305	-0.00105	1.82451	-0.50123	-11.94041	-37.80013	13.61228	30.53939	17.78148	-0.48407	-79.97755	-11.24191	0.50474	0.50390	0.69147	0.34473	
44	44.00000	0.17200	98.73560	88.77354	16.99952	-30.12502	14.05850	-26.14267	26.48356	-8.24904	-20.27322	-3.27794	-0.02336	1.87350	-0.61050	-22.65031	-42.44841	72.16297	18.50710	23.20797	3.23711	-80.66483	27.76980	0.50484	0.50411	0.80319	0.25833	
45	45.00000	0.17600	99.14961	88.91194	16.87704	-30.03157	14.19622	-26.89775	26.92662	-7.62594	-20.61378	-3.05006	-0.05561	1.89856	-0.65326	-5.70490	-44.85627	112.81501	38.72491	20.41109	13.71795	-58.83313	43.43974	0.50488	0.50431	0.88273	0.16066	
46	46.00000	0.18000	99.64218	89.08812	16.73135	-30.34482	14.45390	-27.61872	27.28149	-6.82335	-20.77926	-2.92237	-0.11132	1.90049	-0.90007	-15.99763	-43.73461	121.49490	55.08864	1.60868	72.11497	-73.68344	1.84621	0.50487	0.50435	0.97397	0.19470	
47	47.00000	0.18400	100.11865	89.35097	16.54976	-31.00076	14.49130	-28.01320	27.46027	-6.05695	-21.19918	-2.99074	-0.18252	1.89805	-0.85733	4.70200	-41.51633	82.50785	46.62428	-12.62121	104.61820	-50.53800	0.39983	0.50441	0.50477	1.01988	0.23346	
48	48.00000	0.18800	100.30338	89.46120	16.57446	-31.78942	14.48872	-28.51301	27.66748	-5.19291	-21.19026	-2.83747	-0.26311	1.92182	-1.26041	24.30190	-38.34182	18.76982	49.74085	-27.45853	99.13473	-27.04920	12.81870	0.50438	0.50445	0.95252	0.34993	
49	49.00000	0.19200	100.27261	89.75098	16.96714	-32.45995	13.91961	-28.63270	27.67541	-4.71476	-21.45609	-2.83905	-0.34461	1.97566	-1.34516	-16.21409	-31.20103	34.42376	66.73032	-18.62893	70.97383	-71.00413	2.30687	0.50394	0.50448	0.83129	0.44342	
50	50.00000	0.19600	100.57595	89.99505	17.27462	-33.07866	13.74881	-29.09363	27.65453	-4.11088	-21.74373	-2.80770	-0.41195	2.03471	-1.37531	-46.53527	-21.20511	101.08502	34.95493	9.55996	24.05222	-97.38304	3.59428	0.50384	0.50450	0.76079	0.45203	
51	51.00000	0.20000	101.07874	90.02756	17.71910	-33.47092	13.36689	-29.94438	27.75653	-3.36071	-22.11890	-2.82538	-0.45648	2.07000	-1.15639	-7.17768	-13.97626	125.81252	4.39645	-60.82290	-10.60134	-51.88202	17.44338	0.50391	0.50487	0.79324	0.62305	
