	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d
21	21.00000	0.08000	82.42642	94.23514	4.56613	-16.52031	33.65462	7.10696	23.45699	-40.01151	-7.48544	5.00000	-18.30433	-5.89090	2.10079	-19.40800	-27.54908	-7.02513	36.40957	54.54720	72.05083	12.88358	-8.43394	0.38967	0.32438	0.02716	0.17476	
22	22.00000	0.08400	82.44645	94.43503	4.60471	-16.51314	33.80549	8.06966	23.59118	-40.42717	-7.49134	5.00000	-18.32701	-5.93327	2.11582	-24.48201	-10.25436	17.72523	65.58968	17.38315	101.04556	-14.01618	-8.46352	0.38993	0.32471	0.06107	0.07883	
23	23.00000	0.08800	82.56708	94.75710	3.65766	-16.41931	34.66500	9.99967	23.79623	-41.85200	-7.53636	5.00000	-18.25798	-5.99055	2.22067	-1.08869	-11.97046	-25.04059	2.28783	15.32675	65.40476	2.95895	4.48643	0.38992	0.32468	0.18039	-0.04116	
24	24.00000	0.09200	82.24742	94.46770	6.16321	-16.57979	32.43369	9.69578	23.93687	-41.39427	-7.47447	5.00000	-18.57359	-6.08218	2.01573	-2.63105	-23.40407	-20.79453	-48.06935	-8.35262	-24.96290	-7.77158	10.09458	0.38985	0.32440	0.33932	-0.09198	
25	25.00000	0.09600	82.39979	94.37493	4.55958	-16.55263	33.73310	11.29101	23.89102	-43.23166	-7.65436	5.00000	-18.35090	-6.05849	2.04904	-11.07622	-18.82062	-18.78286	14.88745	-49.42731	-116.51131	-49.76644	-15.25987	0.38963	0.32440	0.43428	-0.12074	
26	26.00000	0.10000	82.09602	94.57980	5.24023	-16.30150	32.92247	11.68449	24.13105	-44.14413	-7.87816	5.00000	-18.36586	-6.24120	1.96793	8.15323	3.22615	-39.93236	27.96162	-63.49454	-160.69936	-24.82227	-12.24969	0.38957	0.32430	0.27993	-0.10089	
27	27.00000	0.10400	82.07985	94.60764	3.00775	-16.01524	34.71608	12.82114	23.95917	-45.91420	-7.85173	5.00000	-18.09062	-6.18000	2.02745	15.09434	4.55330	-48.24971	9.28016	-24.87653	-113.89155	31.47662	10.91487	0.38946	0.32472	0.01400	-0.02624	
28	28.00000	0.10800	81.70695	94.65968	3.85927	-15.79736	34.04915	12.25076	24.02210	-45.57235	-7.66651	5.00000	-18.17215	-6.26323	1.88751	-26.97168	7.03277	-51.06454	-10.93120	16.06381	-43.86032	9.03439	8.02577	0.38967	0.32478	-0.10803	0.04019	
29	29.00000	0.11200	81.67362	94.52262	4.38380	-15.85459	33.52090	11.47603	23.84788	-45.03620	-7.79034	5.00000	-18.40090	-6.20960	2.27969	-54.71412	27.96047	26.75322	-23.52070	-9.87019	-53.42706	-20.72095	0.48410	0.39008	0.32486	-0.01228	0.08060	
30	30.00000	0.11600	81.91975	94.47199	2.79612	-15.60928	34.99398	12.05966	23.96327	-45.82531	-7.81051	5.00000	-18.28406	-6.39456	2.53514	-37.84980	0.73878	12.58457	-10.32389	2.11198	-68.23325	-1.58206	2.48432	0.39036	0.32472	0.20234	0.03679	
31	31.00000	0.12000	81.77392	94.44681	3.62507	-15.72303	34.26741	11.83180	24.05742	-45.90810	-7.80359	5.00000	-18.40476	-6.25933	2.57258	-28.58373	-21.21281	-28.25769	-29.02255	-2.74867	-47.96901	-22.46500	-0.06512	0.39065	0.32462	0.27511	-0.00777	
32	32.00000	0.12400	81.69675	94.22773	2.43834	-15.49968	35.31677	12.59302	24.10192	-46.69553	-7.99678	5.00000	-18.20679	-6.28770	2.57905	-0.68305	-22.35744	-16.06984	-38.79613	-11.08685	-0.10925	-48.93033	-1.29215	0.39084	0.32439	0.16105	-0.02775	
33	33.00000	0.12800	81.64201	94.13554	3.62094	-15.40408	34.18201	11.89068	24.28071	-45.96305	-8.19161	5.00000	-18.42603	-6.48412	2.38755	57.33444	21.16667	-6.12550	11.16860	-20.32511	7.39593	-5.75791	-1.41088	0.39094	0.32431	-0.04222	-0.07942	
34	34.00000	0.13200	81.64731	94.32167	4.01007	-15.54552	33.63976	12.01150	24.28121	-46.10563	-8.03912	5.00000	-18.40381	-6.36337	2.28488	46.50937	19.18522	-14.62676	-2.55552	-27.48659	53.18380	-5.25978	0.61339	0.39094	0.32448	-0.29108	-0.19404	
35	35.00000	0.13600	81.52630	94.12243	4.68900	-15.60050	32.93326	11.74864	23.91673	-45.40730	-8.22524	5.00000	-18.42711	-6.24609	2.17530	10.33732	5.22288	12.89694	-22.14852	-17.66507	76.00946	-6.67741	-4.72983	0.39070	0.32449	-0.42537	-0.25623	
36	36.00000	0.14000	81.74991	94.14066	5.30279	-15.88277	32.25305	11.31045	23.81922	-44.85715	-8.08282	5.00000	-18.45154	-6.20295	2.24441	-23.31370	-0.85716	13.42782	-28.01888	-5.07908	56.62574	-1.23584	3.32047	0.39075	0.32443	-0.41283	-0.21300	
37	37.00000	0.14400	81.63371	93.90118	7.36680	-16.01553	30.31794	9.93283	23.54807	-43.29160	-8.25210	5.00000	-18.73133	-6.17329	2.34877	-52.77061	-25.72480	4.91430	-77.09924	2.10363	33.33605	3.09519	0.49528	0.39069	0.32430	-0.34351	-0.13617	
38	38.00000	0.14800	81.78828	93.52387	5.71300	-16.07928	31.87500	10.38461	23.19727	-43.74256	-8.07714	5.00000	-18.31693	-6.06523	2.46635	-25.46769	-17.58006	28.47856	-40.35817	-17.45518	21.17225	8.20894	-2.85647	0.39065	0.32431	-0.21440	-0.04165	
39	39.00000	0.15200	81.86201	93.57836	6.07842	-16.07340	31.41617	10.01722	22.99131	-43.20109	-8.20650	5.00000	-18.54128	-5.98994	2.41809	-5.19703	-7.25606	31.41726	18.64083	5.84158	28.57390	-3.45444	2.59950	0.39055	0.32414	-0.10366	0.02230	
40	40.00000	0.15600	82.04201	93.67290	5.38991	-16.19128	32.23233	10.25854	23.03305	-43.39796	-8.12007	5.00000	-18.44067	-6.00194	2.44462	1.59304	0.45778	-2.02759	39.66750	36.53088	-12.04335	10.80070	-5.85854	0.39045	0.32402	0.02104	0.03868	
41	41.00000	0.16000	81.84576	93.89505	4.28803	-15.79087	33.42825	11.17077	23.17236	-44.35831	-8.11994	5.00000	-18.20367	-6.11028	2.41606	18.19132	-0.14991	-10.80162	42.27100	21.96207	-54.51684	10.81333	-1.98730	0.39006	0.32401	0.24222	0.03483	
42	42.00000	0.16400	81.95632	94.00518	2.07571	-15.52505	35.59821	12.51202	23.27333	-45.90548	-8.03101	5.00000	-17.85608	-6.21098	2.31340	14.97975	-7.43765	-24.74619	24.22766	6.14541	-96.55832	19.18456	15.35723	0.38983	0.32395	0.42900	-0.03751	
43	43.00000	0.16800	81.64744	94.07430	3.19051	-15.43167	34.53294	12.24423	23.40560	-46.11832	-7.98623	5.00000	-17.88743	-6.21363	2.24070	10.89657	-28.75663	-7.47042	-37.15782	-15.32596	-112.35921	8.56022	1.55739	0.38979	0.32408	0.42474	-0.09975	
44	44.00000	0.17200	81.89001	93.70634	3.36367	-15.39662	34.23418	11.68840	23.37905	-46.04882	-7.95569	5.00000	-17.94003	-6.32791	1.98787	54.15814	-22.75947	36.77868	-46.14162	-34.76301	-90.21959	42.48133	-19.62125	0.38973	0.32412	0.19463	-0.15406	
45	45.00000	0.17600	81.94362	93.70511	4.09446	-15.56446	33.38415	11.25673	23.36898	-45.93297	-7.60660	5.00000	-17.88945	-6.18066	1.62557	42.12230	5.26049	38.76793	22.55439	-63.57301	-7.60731	41.08561	-0.69909	0.38995	0.32440	-0.13021	-0.21301	
46	46.00000	0.18000	82.20008	93.88125	4.89703	-15.57638	32.24777	10.71960	23.27036	-45.22079	-7.60869	5.00000	-18.12412	-6.12145	1.68686	15.29399	10.73963	62.88866	65.78196	-45.55959	76.72211	17.56559	19.64340	0.39008	0.32458	-0.39733	-0.18992	
47	47.00000	0.18400	82.44146	94.23233	5.08154	-15.75993	32.06897	10.46922	23.37834	-44.59585	-7.47400	5.00000	-18.09017	-6.05436	1.58163	-8.88663	12.48645	23.42139	24.33882	-28.17638	147.40121	10.89422	-1.38382	0.39031	0.32491	-0.62564	-0.14848	
48	48.00000	0.18800	82.38881	94.08733	6.20582	-15.70505	30.76269	9.08487	23.00624	-42.54060	-7.50429	5.00000	-18.44564	-5.99584	1.85879	-38.40376	20.28949	-24.04890	-28.94491	-70.40919	161.04739	0.58879	-10.65071	0.39055	0.32516	-0.72216	-0.12860	
49	49.00000	0.19200	82.25645	94.00094	4.41397	-15.17699	32.14956	9.49249	22.86730	-42.41001	-7.44582	5.00000	-18.15140	-6.09863	2.06669	-31.27061	10.37740	-41.04371	-70.88931	-78.74279	142.36642	8.66224	3.25878	0.39044	0.32565	-0.70177	-0.14576	
50	50.00000	0.19600	82.05993	93.51475	4.91972	-14.92998	31.37252	8.29835	22.50236	-40.67534	-7.45147	5.00000	-18.29042	-6.13978	2.20135	-27.43110	-11.38044	-29.80832	-90.61803	-74.63114	137.49792	-8.15045	0.65320	0.39056	0.32566	-0.57955	-0.17074	
51	51.00000	0.20000	82.01649	93.27190	6.40495	-14.77356	29.62818	6.96790	22.50460	-38.97838	-7.53061	5.00000	-18.57370	-6.27842	2.17012	-27.97679	-24.20213	-2.88550	-63.99472	-75.32780	99.72905	-27.38713	5.11328	0.39055	0.32526	-0.37209	-0.18409	
52	52.00000	0.20400	82.03480	93.00179	5.44610	-14.50878	30.26146	7.61245	22.34119	-39.24410	-7.68844	5.00000	-18.33671	-6.31884	2.21249	-11.49432	-29.66295	31.53684	-11.46054	-35.59774	35.97346	6.74844	-6.06257	0.39062	0.32502	-0.16374	-0.14702	
53	53.00000	0.20800	82.26842	93.19771	4.76055	-14.55839	30.93540	8.47752	22.71745	-40.08647	-7.45991	5.00000	-18.03721	-6.42726	2.02777	18.89480	-8.87947	15.75240	90.36687	13.05597	-6.84849	31.69123	0.90421	0.39092	0.32495	-0.04512	-0.06457	
54	54.00000	0.21200	82.15395	93.71320	4.21353	-14.75429	31.55826	10.33449	22.73517	-41.81100	-7.40559	5.00000	-17.76680	-6.19289	2.00242	20.57660	-17.74576	-29.85272	46.39621	85.35907	44.66212	24.73101	16.25904	0.39077	0.32514	-0.11727	0.01746	
55	55.00000	0.21600	82.02319	93.57088	5.96363	-15.17924	30.45495	9.80992	22.50106	-40.95700	-7.25689	5.00000	-17.96860	-6.11796	1.72599	-9.79905	-9.98319	-35.05001	16.43386	132.72592	42.99623	-8.34241	-4.67062	0.39110	0.32567	-0.14574	0.06631	
