	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d
18	18.00000	0.06800	82.59932	66.93578	-20.38867	-16.94284	45.99962	-28.34375	13.88645	-16.43613	1.97252	2.86548	6.62149	-2.80015	-6.15026	2.31872	-10.30951	-4.67338	50.45293	-8.68262	-32.99192	-56.85004	-3.34408	0.48232	0.44825	0.12346	0.00766	
19	19.00000	0.07200	82.12297	66.99782	-20.04766	-17.01803	45.65691	-28.54068	13.95627	-16.74840	1.84777	2.92564	6.73389	-2.61013	-6.04153	-13.20837	4.94799	-80.43115	-2.06049	100.17178	-93.77457	9.51557	2.56321	0.48218	0.44851	0.06021	-0.05050	
20	20.00000	0.07600	82.01697	66.92035	-16.91414	-17.36724	43.47639	-30.62442	14.34494	-14.97596	2.04958	2.87639	6.32901	-2.67821	-5.99201	-32.61800	-2.71340	-54.81091	9.03088	216.36418	-57.66555	34.24058	14.27212	0.48187	0.44907	0.07242	-0.22432	
21	21.00000	0.08000	81.68559	67.07216	-15.46094	-17.66139	43.01052	-31.17217	14.66071	-14.65849	2.13462	2.99125	6.24131	-2.71276	-5.78682	-47.50643	-12.28143	-72.26842	12.84429	198.72676	6.14124	-19.04346	-6.57787	0.48210	0.44947	-0.00002	-0.34844	
22	22.00000	0.08400	81.44465	67.03103	-13.99760	-17.66568	42.28533	-31.61692	14.75197	-13.96665	1.90820	2.75641	5.93684	-2.86007	-5.69962	-31.15114	-7.57555	-23.95179	5.96377	119.39434	29.52043	-25.76336	-0.70787	0.48185	0.44959	-0.09079	-0.45881	
23	23.00000	0.08800	81.51855	67.11868	-15.16019	-17.90088	43.67847	-31.26206	14.65760	-14.33530	1.93969	2.95163	6.03437	-2.70482	-5.59649	-15.73609	-27.98493	31.05014	-2.32807	49.49466	-3.84507	2.45688	13.02892	0.48246	0.44967	-0.14891	-0.49522	
24	24.00000	0.09200	81.74399	67.00932	-16.96020	-17.77048	45.50159	-30.40924	14.73194	-15.16538	1.93651	2.86061	6.15806	-2.70113	-5.80882	-9.85552	-1.17371	42.32297	-37.47017	-77.58479	-37.38040	-3.71881	-23.73187	0.48250	0.44947	-0.16263	-0.32523	
25	25.00000	0.09600	81.89056	66.81773	-18.90616	-17.60293	46.62344	-29.97555	14.57257	-15.87896	1.91612	2.77224	6.28152	-2.61975	-5.53848	-8.99552	0.79750	103.39320	-60.03327	-107.86935	-18.37094	9.24527	20.65551	0.48251	0.44939	-0.05692	-0.31079	
26	26.00000	0.10000	82.56145	66.53011	-21.08866	-17.54377	48.57679	-30.33808	14.59661	-15.38097	2.01788	3.03002	6.18853	-2.63042	-5.73814	-1.80663	-16.20531	136.94952	-49.00850	-7.42508	-27.68447	-15.86865	36.51742	0.48293	0.44916	0.06434	-0.44071	
27	27.00000	0.10400	82.98470	66.42746	-22.65765	-17.65600	50.13961	-30.90416	14.71389	-15.20152	1.79467	3.05639	6.25363	-2.57421	-5.65944	11.57325	23.23752	32.05674	-6.64444	2.70100	-28.32965	-46.81680	4.50846	0.48306	0.44890	0.12059	-0.35882	
