	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d
18	18.00000	0.06800	79.70111	68.23745	45.12973	-22.06472	-8.69236	-45.98322	15.55335	9.23414	-29.23866	-4.34029	6.74165	-0.72158	-0.70893	-7.09420	1.60293	11.89726	22.02250	14.33894	20.79106	50.79953	-0.01917	0.29043	0.33338	0.19528	0.00373	
19	19.00000	0.07200	79.61761	68.14027	45.52024	-22.37077	-9.06073	-46.70220	15.88813	10.09601	-28.83879	-4.33118	6.46868	-0.80592	-0.73800	-17.63115	-17.61767	46.68693	7.09611	13.59742	26.62056	20.27446	-4.86306	0.29069	0.33370	0.13663	-0.00098	
20	20.00000	0.07600	80.07435	68.29749	44.67258	-22.52588	-8.16156	-46.11594	15.93569	9.57538	-28.56325	-4.37105	6.49769	-0.88593	-0.70820	7.57829	-21.08520	18.40195	11.42318	-7.18351	4.09273	10.75403	-42.00436	0.29085	0.33414	-0.01427	-0.02113	
21	21.00000	0.08000	79.76202	68.24032	45.14015	-22.16345	-8.76814	-45.80179	15.95405	9.26287	-28.31814	-4.68125	6.49059	-0.87664	-0.95294	38.18391	17.41435	-59.87782	61.24100	-29.52118	-6.78282	39.17421	-74.81293	0.29062	0.33420	-0.13658	-0.05514	
22	22.00000	0.08400	79.59480	68.78770	44.52729	-22.08480	-8.26296	-44.63325	15.32745	8.09292	-28.10444	-5.01071	6.64076	-0.73929	-0.84895	44.38137	-3.07675	-78.63554	27.39702	22.08053	-50.91494	78.95409	-73.63618	0.29028	0.33437	-0.22706	-0.00727	
23	23.00000	0.08800	79.13097	68.45464	44.97896	-21.73636	-8.44273	-43.78770	15.44675	6.91477	-27.86090	-5.31552	6.87514	-0.65715	-1.30729	42.58949	-37.00320	-142.02022	-105.07263	85.13513	-61.09131	90.51972	-50.73489	0.29001	0.33454	-0.17080	0.07815	
24	24.00000	0.09200	78.47154	67.94307	46.26088	-22.47717	-9.19035	-44.90677	15.63459	7.86712	-27.66805	-5.44121	6.66614	-0.64535	-1.46949	20.24434	-0.69569	-124.83349	-104.58175	86.10014	-28.06457	49.74682	-23.02923	0.29008	0.33471	-0.01403	0.09120	
25	25.00000	0.09600	78.13456	67.62518	45.82495	-22.29785	-8.53786	-43.89255	15.17146	6.79105	-27.67265	-5.50683	7.14516	-0.61435	-1.46618	2.03571	5.25319	-73.50124	-121.57551	59.54893	-7.17829	4.54608	15.34784	0.29007	0.33488	0.02139	0.09756	
26	26.00000	0.10000	77.88170	66.97108	46.44081	-22.97482	-8.88048	-45.63538	15.34084	8.51252	-27.73240	-5.32728	6.85571	-0.58091	-1.44508	-6.19511	-15.99910	-31.69052	-129.11151	33.36235	57.82650	-17.07972	15.87525	0.29048	0.33502	0.00280	0.06925	
27	27.00000	0.10400	77.88456	66.59541	46.14798	-22.49582	-8.56921	-44.84084	14.91301	8.16857	-27.85191	-5.39833	7.15428	-0.67860	-1.54583	-7.38570	-15.02632	29.75494	-39.69625	51.82968	78.76025	-9.22553	-5.21671	0.29037	0.33525	0.00376	-0.00103	
