	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d
17	17.00000	0.06400	73.08869	88.13080	14.85616	-18.75272	26.21238	16.28188	23.02938	-56.77522	-3.51092	-5.69123	-22.58030	-1.82950	-1.13036	43.58624	18.55173	-10.01238	156.84126	-70.56435	-64.66672	-17.25375	31.29004	0.38357	0.32833	0.10248	0.10508	
18	18.00000	0.06800	73.23090	88.87281	12.53965	-18.34263	27.63972	16.56514	23.75727	-57.18557	-3.59877	-5.51347	-22.66584	-1.84141	-1.24598	47.95630	15.99019	-12.59658	156.86981	-143.97485	12.96644	-28.25167	51.18777	0.38337	0.32841	-0.02902	0.11856	
19	19.00000	0.07200	72.95968	89.39265	11.21395	-17.97916	28.51550	17.09592	24.42560	-57.41518	-3.79216	-5.31820	-22.76826	-1.84437	-1.35450	41.32472	20.03100	-39.53447	68.03218	-82.78226	36.13952	-24.71568	33.09581	0.38299	0.32867	-0.02576	0.12941	
20	20.00000	0.07600	72.91232	89.41927	10.50037	-17.81918	28.91602	16.77564	24.80454	-57.09145	-3.85430	-5.27572	-22.84904	-1.81320	-1.38528	31.99457	28.38263	-0.71335	-26.99803	-91.39533	22.93710	-4.54955	1.81516	0.38302	0.32885	0.03103	0.10946	
21	21.00000	0.08000	72.95840	89.16676	9.27747	-17.73786	29.62809	16.63069	24.77075	-56.80922	-3.87509	-5.31806	-22.89063	-1.75271	-1.38621	23.51512	30.20918	-15.75094	-95.37009	-83.79149	-29.78860	6.01315	-11.97926	0.38330	0.32882	0.11435	0.05999	
22	22.00000	0.08400	72.78425	88.69006	9.59418	-17.70886	29.10830	15.61978	24.54448	-56.27930	-3.80322	-5.37295	-22.89450	-1.68583	-1.35515	6.42144	22.00425	-34.83657	-81.83069	-6.09418	-103.89092	19.73858	-6.29627	0.38361	0.32856	0.25945	0.01680	
23	23.00000	0.08800	72.68616	88.51428	9.98351	-17.90920	28.90679	15.47030	24.40946	-56.58582	-3.64846	-5.35989	-22.87005	-1.63499	-1.28365	-9.87265	14.75256	-40.27795	-61.64603	47.17225	-94.15449	22.53089	12.11721	0.38369	0.32825	0.26694	-0.02807	
24	24.00000	0.09200	72.46198	88.19967	10.96842	-18.06918	28.17859	15.46622	24.06255	-56.89289	-3.52679	-5.26269	-22.82434	-1.60223	-1.16242	-18.91403	16.57909	-32.09707	-40.21273	54.96810	-79.41118	4.79918	27.30650	0.38353	0.32809	0.15969	-0.11567	
25	25.00000	0.09600	72.43005	88.19334	11.55052	-18.33216	27.85630	15.51596	23.92255	-57.26291	-3.55062	-5.12924	-22.76740	-1.58247	-0.98862	-20.41543	20.72403	-59.72049	-18.75945	103.92854	-48.61939	-29.11638	23.53770	0.38320	0.32808	0.01515	-0.15469	
26	26.00000	0.10000	71.99217	88.06205	13.11928	-18.61108	26.96967	15.57057	23.58384	-57.37726	-3.77240	-5.06822	-22.70963	-1.57935	-0.81828	-13.29967	20.17485	-109.96037	-11.81298	159.73143	-0.62529	-70.57565	-3.13955	0.38292	0.32819	-0.09409	-0.15597	
27	27.00000	0.10400	71.55120	88.10090	14.56536	-18.91327	26.27675	15.94508	23.45681	-57.66170	-4.17842	-5.15568	-22.65564	-1.58433	-0.71012	-0.16757	15.52062	-81.14240	107.59332	139.89384	18.24648	-102.14528	-38.43263	0.38283	0.32839	-0.12302	-0.13310	
28	28.00000	0.10800	71.34365	88.92274	15.09476	-19.08636	26.21884	16.58777	23.78323	-58.16433	-4.64638	-5.38210	-22.60889	-1.58290	-0.68830	8.07454	9.91147	-41.44641	141.56866	83.16830	46.85537	-101.93185	-60.57836	0.38287	0.32854	-0.18391	-0.13504	
29	29.00000	0.11200	71.22265	89.23394	15.40322	-19.17130	26.15014	17.12496	23.76475	-58.36674	-4.99960	-5.64659	-22.58563	-1.57015	-0.69511	8.03698	8.39814	-10.47474	108.33164	24.02146	76.10115	-65.93488	-60.47798	0.38302	0.32869	-0.22477	-0.14655	
30	30.00000	0.11600	71.26377	89.79005	15.27440	-19.20370	26.24115	17.32029	24.09393	-58.22619	-5.13101	-5.86704	-22.61340	-1.55803	-0.68733	5.78165	11.61969	4.92208	102.72805	6.38053	82.69391	-13.82143	-48.60511	0.38328	0.32887	-0.16003	-0.13226	
31	31.00000	0.12000	71.26056	90.05524	15.70636	-19.39381	25.91521	17.26716	24.37051	-57.83527	-5.06039	-6.03114	-22.69133	-1.54359	-0.65154	8.97264	15.71781	47.17515	66.90896	-15.10857	88.34608	33.05199	-39.41128	0.38377	0.32921	-0.03848	-0.06357	
32	32.00000	0.12400	71.64291	90.32377	14.93231	-19.53698	26.44178	17.46197	24.76340	-57.64783	-4.84972	-6.17929	-22.77923	-1.50932	-0.63540	22.18305	18.87677	61.57351	101.00100	-51.66663	106.62990	58.96937	-35.00129	0.38436	0.32963	0.06011	-0.02840	
33	33.00000	0.12800	71.75295	90.85715	14.83412	-19.58718	26.32437	18.82503	25.21036	-58.39347	-4.61403	-6.31677	-22.82271	-1.46153	-0.67684	42.74667	22.92184	70.65076	127.30338	-62.62409	86.87118	42.10889	-34.36029	0.38485	0.32999	0.05724	-0.06989	
34	34.00000	0.13200	72.20633	91.34272	13.91435	-19.68692	26.89968	19.98322	25.64269	-59.23454	-4.56547	-6.46736	-22.78696	-1.42333	-0.80704	41.47039	28.21774	68.39201	37.09893	-111.34292	-38.95139	33.18226	-29.21147	0.38526	0.32997	0.02816	-0.16543	
35	35.00000	0.13600	72.29824	91.11973	13.27249	-19.21261	26.90361	19.69016	25.61240	-59.48726	-4.40811	-6.55891	-22.67877	-1.39701	-0.79018	17.82628	30.97712	1.42093	-129.44887	-131.19107	-73.02972	37.08186	-16.07527	0.38503	0.32991	-0.14438	-0.24674	
36	36.00000	0.14000	72.21614	90.35368	12.49404	-18.76086	27.19164	19.40229	24.81634	-59.29491	-4.32920	-6.58600	-22.55701	-1.37839	-0.68381	-15.19659	27.14562	-28.95341	-235.44633	-101.58829	-14.94658	20.26738	-5.51339	0.38450	0.32970	-0.35348	-0.28862	
37	37.00000	0.14400	72.06584	89.23359	12.06721	-18.36136	27.23156	18.28263	23.76460	-58.32395	-4.31410	-6.57127	-22.47237	-1.36562	-0.44245	-34.64254	17.56502	-39.03770	-279.65274	-7.34145	9.45031	-8.61478	2.59586	0.38418	0.32923	-0.41479	-0.27494	
38	38.00000	0.14800	71.90837	88.12323	12.46721	-18.49159	27.15791	16.66343	22.78988	-56.70973	-4.47192	-6.52260	-22.43772	-1.36271	-0.26216	-32.13328	3.12545	-3.64437	-231.69411	12.57951	53.52974	-40.74652	20.47437	0.38376	0.32900	-0.41964	-0.23426	
39	39.00000	0.15200	72.02043	87.38017	12.54266	-18.19184	26.88153	15.20616	22.15218	-55.06044	-4.69261	-6.36806	-22.42969	-1.38203	-0.14941	-27.02184	-14.72663	-43.29394	-124.54189	113.17726	73.49263	-52.04247	45.78101	0.38340	0.32897	-0.31961	-0.03744	
40	40.00000	0.15600	71.60063	87.12933	13.90044	-18.52981	26.70186	14.33680	21.96349	-53.96837	-4.89588	-6.13322	-22.42001	-1.42931	-0.15763	-11.29486	-26.52754	-61.37403	-11.54481	240.04501	47.28292	-44.94329	57.42317	0.38313	0.32906	-0.15935	0.15023	
41	41.00000	0.16000	71.52032	87.29708	14.76064	-18.85766	26.69802	14.11404	22.18039	-53.66925	-5.01918	-5.91016	-22.39982	-1.48073	-0.27116	10.93830	-21.03807	-9.73184	68.57776	157.30569	-10.96835	-23.63048	47.91061	0.38292	0.32920	-0.01828	0.05738	
42	42.00000	0.16400	71.51770	87.68900	15.41761	-19.22683	26.52441	14.18821	22.66092	-53.91775	-5.03657	-5.76656	-22.37300	-1.49646	-0.41334	32.11889	3.68852	17.53294	93.71338	44.93398	-5.53602	4.84639	22.92352	0.38272	0.32932	0.00335	-0.09422	
43	43.00000	0.16800	71.65855	88.02433	15.45828	-19.61779	26.39777	15.13504	22.96717	-54.65311	-4.95202	-5.74112	-22.33940	-1.46104	-0.49189	46.39589	37.70393	-1.49495	50.68294	-79.22735	-25.60525	31.17986	-9.47029	0.38259	0.32947	0.03602	-0.16583	
44	44.00000	0.17200	71.50880	88.10824	15.02732	-19.53131	26.25792	15.03189	23.12452	-54.90076	-4.80338	-5.84728	-22.31251	-1.38552	-0.47024	47.44209	63.23548	-25.05616	7.50626	-152.07188	-67.06207	49.36947	-41.55220	0.38266	0.32966	0.08685	-0.17217	
45	45.00000	0.17600	71.45669	88.08100	14.23631	-19.21112	26.33329	14.89517	23.02110	-54.96899	-4.61173	-6.07340	-22.30652	-1.29289	-0.35477	32.15106	66.17178	4.41770	-11.50990	-138.27890	-23.54066	57.69632	-60.10693	0.38292	0.32973	0.03016	-0.21775	
