	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d
30	30.00000	0.11600	104.21598	94.54431	-20.50974	-21.18840	53.08598	17.35727	16.07543	-50.17482	-14.14287	-10.86715	9.14259	2.59049	-1.97789	-1.94822	-18.27991	-139.94321	93.15770	-49.85966	38.86095	30.80693	19.45130	0.44032	0.44817	-0.06341	0.70407	
31	31.00000	0.12000	103.74638	94.77654	-19.60483	-20.57858	51.76876	18.35020	16.08200	-50.94712	-14.07833	-10.93298	9.09621	2.68187	-2.07279	-6.71882	-27.89647	-100.70538	54.70359	-92.84624	52.54207	54.70156	37.17003	0.44021	0.44833	-0.00515	0.87818	
32	32.00000	0.12400	103.42133	94.98160	-16.70855	-20.32504	48.77989	17.85504	16.00262	-50.23263	-13.62268	-10.57222	8.91503	2.77838	-2.11885	-22.27925	-39.43951	-42.39137	9.02992	-103.00017	68.04611	30.34789	34.46899	0.44033	0.44875	0.07067	0.83238	
33	33.00000	0.12800	103.39468	94.84834	-15.75151	-19.77556	47.33343	16.73590	15.90053	-48.85165	-13.78566	-10.64278	8.68284	2.65746	-2.17011	-23.46087	-56.15124	27.37763	-20.71745	-61.03129	56.16531	-24.55492	-8.06096	0.44053	0.44907	0.11470	0.54685	
34	34.00000	0.13200	103.66586	94.82229	-14.74925	-19.83468	46.44827	15.73691	15.84943	-47.74571	-13.83909	-10.63482	8.64616	2.66191	-2.36097	-24.62894	15.47794	43.14370	-25.90963	-58.11616	-53.90107	4.95818	42.35614	0.44051	0.44953	0.09680	0.22317	
35	35.00000	0.13600	103.74052	94.64111	-14.84000	-19.93173	46.01147	15.17301	15.54420	-47.77943	-13.75863	-10.30153	8.74707	2.72631	-1.84830	-39.73252	20.78491	45.70663	-8.51963	-28.31431	-60.46626	-21.34416	42.43435	0.44094	0.44981	-0.02098	0.07735	
36	36.00000	0.14000	104.03661	94.75538	-15.35182	-20.18014	46.78791	16.98955	15.53628	-49.43650	-14.03813	-10.30794	9.07866	2.81648	-1.90948	-42.60358	-15.08438	43.78488	11.59904	14.35356	5.54428	-34.35612	30.12946	0.44087	0.44992	-0.13625	0.02955	
37	37.00000	0.14400	104.08810	94.73501	-15.55829	-20.05934	46.80082	16.95472	15.64736	-49.45170	-14.07812	-10.07665	9.09880	2.74738	-1.65377	-12.72762	15.79493	-50.00170	16.40196	-3.69264	24.25480	1.09513	36.61827	0.44101	0.45007	-0.16554	0.04338	
38	38.00000	0.14800	103.64285	94.88469	-13.58605	-19.95522	45.09869	17.94875	15.63020	-50.16606	-14.05117	-10.01943	9.03368	2.75639	-1.67796	43.87103	-10.34791	-99.36447	41.59812	59.81190	70.36432	9.10758	-10.88914	0.44138	0.45018	-0.09400	-0.02433	
39	39.00000	0.15200	103.29230	95.07114	-11.51043	-19.82233	43.47262	17.96562	15.64759	-49.86210	-14.03887	-10.16637	8.80194	2.63193	-2.07678	8.37342	0.53049	-74.58083	9.22045	45.01175	34.15714	26.33161	3.06889	0.44166	0.45007	0.03568	-0.11119	
