	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d
18	18.00000	0.06800	88.22335	79.44521	11.49967	-14.99182	26.94128	-25.13025	20.54380	-21.49267	-19.46169	-5.69999	3.54595	4.93845	-3.33965	-13.38363	-20.19954	-86.75843	36.88255	61.93237	12.48159	-58.72693	-46.20530	0.34758	0.37692	0.06732	-0.00072	
19	19.00000	0.07200	87.59326	79.69224	13.55978	-14.95912	25.16017	-25.47045	20.84270	-21.30579	-19.76900	-5.96912	3.35519	5.02872	-3.33879	-16.14023	-23.93069	-87.79527	35.17472	84.48952	-4.68090	-48.65356	-45.37523	0.34720	0.37705	0.11952	0.05127	
20	20.00000	0.07600	87.51619	79.73565	13.33592	-15.01193	25.84316	-24.99313	20.63632	-21.65838	-19.96814	-6.16369	3.54054	5.21256	-3.40750	-11.30316	-19.06552	-58.79807	5.08524	68.90137	9.69340	-35.52645	-22.06558	0.34707	0.37718	0.13852	0.07208	
21	21.00000	0.08000	87.13805	79.72845	15.08891	-15.12507	24.23466	-25.45982	20.62811	-21.23806	-20.16114	-6.19598	3.40484	5.29280	-3.41022	7.56063	18.18866	6.22346	46.28812	3.86291	-23.48270	-32.55517	19.81046	0.34711	0.37721	0.07717	0.03351	
22	22.00000	0.08400	87.56701	80.10806	13.58598	-15.11707	25.63203	-24.29514	20.58908	-22.49943	-20.28843	-5.98475	3.67917	5.09774	-3.33943	10.48926	35.50263	60.40245	46.37421	-41.96439	-64.03931	-29.53566	35.95855	0.34758	0.37718	-0.02851	-0.00229	
23	23.00000	0.08800	87.62398	80.09817	12.96489	-15.07578	25.94912	-24.02924	20.52867	-23.08936	-20.40905	-5.83131	3.84901	4.94754	-3.24302	-2.15304	24.91901	40.55796	47.58459	-88.20035	-84.80243	-16.37652	5.96659	0.34762	0.37714	-0.15081	0.07150	
24	24.00000	0.09200	87.88844	80.48793	12.15054	-15.17432	26.31167	-24.10362	20.80509	-23.35699	-20.40898	-5.84676	3.78938	4.95316	-3.11986	0.03750	31.96810	74.88294	34.21427	-90.78961	-73.95939	10.91005	-23.24644	0.34722	0.37712	-0.09780	0.12905	
25	25.00000	0.09600	88.22807	80.37365	9.92051	-15.09604	28.16211	-23.78712	20.77529	-23.90782	-20.28478	-5.95818	4.10185	4.86699	-2.98406	10.48239	1.48413	53.60123	-51.40451	-30.80844	-1.53613	41.47019	-46.83339	0.34649	0.37690	0.02784	0.16948	
26	26.00000	0.10000	88.32502	80.07702	10.03778	-15.07162	28.10430	-24.11992	20.82579	-23.35404	-19.99429	-6.21460	4.04120	4.85908	-3.18649	14.26852	-46.77981	17.53676	-53.36165	40.72970	97.16339	55.15691	-44.14838	0.34577	0.37669	0.12429	0.10006	
27	27.00000	0.10400	88.37338	79.94350	9.60089	-15.17208	28.79652	-23.38573	20.50587	-23.50653	-19.74202	-6.33945	4.15815	5.01024	-3.46867	-0.78042	-42.06110	49.06940	-58.88190	34.63420	95.51939	36.43160	-25.97350	0.34547	0.37637	0.15267	-0.06646	
28	28.00000	0.10800	88.71134	79.61023	8.57241	-15.18310	29.79589	-23.44139	20.42313	-23.22432	-19.64248	-6.45670	4.15314	4.97941	-3.53104	-10.45782	-23.88290	104.99332	-37.86052	-18.55858	43.93077	-9.24145	12.47590	0.34546	0.37628	0.11182	-0.20042	
29	29.00000	0.11200	89.20711	79.64098	6.21823	-14.98411	31.91394	-22.54832	20.39404	-23.93992	-19.83195	-6.26384	4.27729	4.84049	-3.60792	-15.15208	6.85957	69.32221	-15.61968	-55.04498	13.34473	-41.51245	53.56150	0.34619	0.37624	0.06572	-0.19775	
30	30.00000	0.11600	89.27602	79.48611	7.03488	-15.03511	30.83967	-23.65163	20.47566	-22.92063	-20.06835	-6.04471	3.94866	4.79212	-3.37336	-25.42012	17.92045	-8.86459	-2.00325	-18.23230	-1.49708	-50.82952	35.75343	0.34676	0.37638	0.06709	-0.11390	
