	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d
18	18.00000	0.06800	89.61042	109.07221	27.87902	-21.60271	17.25676	17.98325	24.01177	-55.69786	0.75172	-47.20065	-14.67236	-1.80263	1.63370	-7.78497	-0.45481	51.01667	-1.19307	-38.07650	-85.14649	41.30359	-69.71019	0.45414	0.34029	0.37796	-0.16866	
19	19.00000	0.07200	89.88504	109.06072	28.14326	-21.46134	16.67659	17.59212	24.10716	-55.81735	0.69924	-47.53157	-14.55208	-1.85059	1.99749	-44.92236	51.48018	26.20486	-59.21186	-107.00663	-122.36349	-31.71664	-89.55270	0.45486	0.34079	0.30832	-0.15845	
20	20.00000	0.07600	89.82014	108.60292	30.11066	-21.71448	14.32596	15.46659	23.73975	-54.37705	0.37941	-47.97210	-14.81435	-1.80532	2.48191	-32.40902	18.31540	16.12300	-112.09869	-129.31754	-95.59655	5.62554	-74.34058	0.45570	0.34086	0.11903	-0.13991	
21	21.00000	0.08000	90.01868	108.15984	30.22580	-21.02852	13.70773	14.88200	23.47373	-54.10382	0.66440	-48.13718	-14.70389	-1.89747	2.41809	-7.89712	-16.89352	21.96479	-128.30801	-100.07516	-19.05013	68.79808	-67.67229	0.45656	0.34094	-0.09451	-0.10226	
22	22.00000	0.08400	89.99122	107.57343	31.65534	-21.37367	12.08503	12.73379	22.78658	-52.01802	0.94183	-48.47163	-15.08219	-1.77067	2.41339	-15.10108	-2.71253	-17.47367	-104.26656	-66.96554	28.21551	25.61217	-83.16854	0.45728	0.34099	-0.20438	-0.08686	
23	23.00000	0.08800	89.88017	107.32510	33.35733	-21.81522	10.25438	9.99237	22.56050	-49.37269	0.92254	-48.79555	-15.52880	-1.82503	2.55394	0.38550	-6.44240	0.20017	25.91726	-78.85182	73.00336	16.32843	-112.09379	0.45840	0.34069	-0.18326	-0.07898	
24	24.00000	0.09200	89.99160	107.79557	33.78176	-21.77646	9.47887	9.26513	22.42809	-48.23185	1.13936	-49.36678	-15.82988	-1.81169	2.40094	1.26562	7.90547	71.47360	172.11998	-107.66162	96.22408	17.37448	-120.16518	0.45933	0.34050	-0.11416	-0.04884	
25	25.00000	0.09600	90.45223	108.70994	32.69786	-21.60456	10.00619	10.43366	22.37639	-49.01156	1.10734	-49.74496	-15.78644	-1.70037	2.62955	-15.10343	34.06193	102.43221	184.88895	-118.48676	86.57861	-43.57378	-112.92899	0.46042	0.34013	-0.07599	-0.00354	
26	26.00000	0.10000	90.80949	109.27089	32.92262	-21.97246	9.32982	9.56065	22.42565	-47.81245	0.76182	-50.27599	-16.05294	-1.66251	2.81086	-3.25070	19.27755	105.94052	168.31131	-107.59052	101.32099	-56.36982	-110.98306	0.46132	0.33973	-0.08512	0.06359	
27	27.00000	0.10400	91.30280	110.05658	32.08495	-21.79427	9.71381	10.60955	22.51245	-48.36309	0.62592	-50.62600	-16.00083	-1.60976	2.83156	-9.15421	-7.97926	106.89548	127.62672	-76.19469	84.56704	-41.61071	-76.32593	0.46212	0.33949	-0.15364	0.10266	
