	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d
18	18.00000	0.06800	61.34916	76.19750	25.35575	-14.37477	16.88484	5.76991	11.73154	-39.96525	-2.66706	2.04305	-19.94767	-10.89886	4.49701	17.74247	-36.33797	-58.50551	-183.32014	34.58745	61.64802	97.66544	64.82664	0.37293	0.29441	-0.31386	0.25058	
19	19.00000	0.07200	61.17710	75.48101	25.43814	-14.55064	16.93674	1.73279	11.54690	-35.80568	-2.27756	2.29416	-19.82014	-10.86341	4.39497	29.41163	5.12400	-45.45193	-150.21004	39.76770	63.77787	89.57850	60.95938	0.37256	0.29441	-0.39390	0.29200	
20	20.00000	0.07600	60.98662	75.01342	27.16688	-14.90454	15.45041	-3.26457	11.63767	-30.60586	-1.97124	2.52321	-20.10663	-10.91166	4.32357	22.16542	16.29188	-2.24820	-25.62591	-49.65017	76.37453	82.08884	44.88871	0.37221	0.29457	-0.24581	0.34036	
21	21.00000	0.08000	61.16606	75.27404	26.07489	-14.67279	15.92390	-3.92084	11.56071	-29.65454	-1.63931	2.63769	-20.13353	-10.72521	4.37749	-2.88828	-3.25595	-1.41503	47.19974	-176.07430	99.66669	61.85936	24.05127	0.37186	0.29488	-0.13976	0.33271	
22	22.00000	0.08400	60.98554	75.39119	26.78450	-14.17503	14.41063	-4.18836	11.68269	-28.90378	-1.48057	2.70252	-20.30525	-10.79726	4.35190	-20.64730	-2.89772	-65.87041	15.36229	-196.37872	119.52187	28.47545	5.75303	0.37146	0.29480	-0.17218	0.31682	
23	23.00000	0.08800	60.63779	75.39275	27.87607	-14.03544	12.60652	-4.92420	11.71256	-27.71550	-1.40154	2.68398	-20.56540	-10.67787	4.52073	-17.42006	25.29961	-90.56888	47.47790	-228.38065	80.76603	17.09024	-9.24107	0.37090	0.29440	-0.03119	0.32384	
24	24.00000	0.09200	60.26329	75.78300	28.15633	-13.65659	11.25248	-2.83745	11.63323	-29.58077	-1.32706	2.63646	-20.63270	-10.47827	4.69472	-1.48046	-9.50156	-64.14583	15.95520	-79.71733	14.08843	40.44912	-14.48119	0.37046	0.29411	0.35029	0.39449	
25	25.00000	0.09600	60.14291	75.57536	28.15091	-13.74658	11.70208	-1.90345	11.80356	-30.56099	-1.05807	2.57229	-20.60319	-10.54661	4.46694	14.68132	-17.33781	-55.06710	-19.54890	97.07737	-62.54720	61.20750	20.98034	0.37018	0.29413	0.73064	0.49759	
26	26.00000	0.10000	59.83703	75.64234	28.46581	-13.79451	11.72856	-0.96640	11.94713	-31.91201	-0.80087	2.80524	-20.76939	-10.51975	4.44109	17.07081	26.20536	-40.19765	4.65899	92.44067	-108.07946	56.10503	54.38256	0.36976	0.29406	0.90942	0.48431	
27	27.00000	0.10400	59.82366	75.59958	27.59106	-13.70767	12.98546	0.65707	11.87912	-33.93061	-0.53726	3.01157	-20.79062	-10.49336	4.54900	-5.17547	45.34514	57.65133	-62.16399	119.64767	-109.39920	45.12220	42.02300	0.36951	0.29422	0.84241	0.43418	
