	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d
18	18.00000	0.06800	85.70042	89.81458	5.18729	-16.97133	19.78969	-5.24712	19.42476	-22.30208	-23.03788	-3.39170	7.41889	5.68744	-4.99142	34.63009	48.14521	66.99220	261.18930	-105.15759	-136.68987	-17.43855	-12.08458	0.38455	0.43209	-0.50621	0.28446	
19	19.00000	0.07200	86.25685	91.08564	4.00434	-16.84902	20.43543	-3.46703	20.01711	-24.37318	-22.99452	-3.48646	7.32636	5.76655	-5.01180	46.22948	39.11189	128.51767	274.18640	-157.50545	-82.77790	24.71084	-43.56540	0.38441	0.43208	-0.44521	0.09581	
20	20.00000	0.07600	86.74498	92.00922	1.33138	-16.41330	22.22163	-1.21926	20.42929	-26.74910	-22.78207	-3.73684	7.54332	5.77014	-5.05004	37.63518	44.09034	87.83325	160.37257	-144.80002	-69.80576	54.23275	-47.87850	0.38421	0.43203	-0.26141	-0.09201	
21	21.00000	0.08000	86.93188	92.36560	2.58607	-16.88428	20.63780	-2.21011	20.91505	-26.11449	-22.51532	-3.85991	7.28767	5.73265	-4.95740	10.17853	-6.53785	43.66885	80.09009	-70.68018	-8.11709	51.36078	-8.75628	0.38414	0.43195	-0.10391	-0.19992	
22	22.00000	0.08400	87.10203	92.65319	1.85433	-16.71525	21.15430	-1.80963	21.20021	-26.26116	-22.35728	-3.81329	7.13085	5.80247	-5.16946	-15.60166	-27.53985	12.87844	-16.53380	-50.20653	32.31612	36.40010	40.74099	0.38409	0.43199	0.07421	-0.07084	
23	23.00000	0.08800	87.03580	92.23693	0.92515	-16.70207	21.82561	-1.43078	20.64760	-26.58235	-22.30301	-3.55005	7.40250	5.99320	-5.05736	-21.12367	-18.95319	-28.03006	-90.70399	10.87675	51.63659	25.57717	59.63892	0.38413	0.43197	0.27316	0.12540	
24	24.00000	0.09200	86.88540	91.92645	1.36219	-16.77345	21.71293	-1.07535	20.22971	-26.53568	-22.34467	-3.34147	7.44168	6.06913	-5.16394	-6.39490	-19.99072	-71.87753	-148.71068	55.22615	69.25922	-0.11026	40.18058	0.38402	0.43181	0.40613	0.21038	
25	25.00000	0.09600	86.46107	91.04613	2.46117	-16.73365	20.79637	-2.06152	19.55817	-25.43278	-22.52395	-3.20963	7.52531	6.00321	-5.17116	8.65234	-8.89266	-78.57311	-177.65169	45.35240	37.73866	-45.59817	13.21472	0.38384	0.43150	0.44164	0.15631	
26	26.00000	0.10000	86.25649	90.51508	3.88017	-17.02250	19.66341	-4.06454	19.61707	-23.41707	-22.85099	-3.19614	7.39842	5.83872	-5.30091	-8.81952	0.58018	-14.91921	-128.54555	12.22299	43.76152	-77.83778	-19.29097	0.38349	0.43125	0.43340	0.04888	
27	27.00000	0.10400	86.33370	90.00642	3.68534	-16.94352	19.72315	-5.33556	19.23727	-21.99884	-23.16053	-3.32409	7.40905	5.68623	-5.08633	-29.03106	40.90786	83.04762	-47.83162	-72.98409	44.28862	-86.45157	-32.49146	0.38315	0.43136	0.37553	0.07081	
