	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d
18	18.00000	0.06800	78.51050	68.17300	-2.78690	-20.89473	43.03296	-18.93620	16.69409	-31.33618	0.58845	0.42203	8.02040	-8.18219	-4.03833	-5.52186	-13.52274	17.73973	28.68621	26.66425	-4.32822	-17.23364	-17.25998	0.42992	0.39971	-0.04660	-0.02533	
19	19.00000	0.07200	78.57759	68.33315	-1.91593	-20.98098	42.07363	-18.70416	16.87753	-31.75196	0.54627	0.30084	7.97793	-8.11895	-4.11980	10.06199	7.92038	4.07264	-0.08110	-46.15880	-70.82301	10.50949	-22.77800	0.42852	0.40042	-0.06384	0.16217	
20	20.00000	0.07600	78.54311	68.17300	-0.76241	-21.12266	40.77365	-19.24479	16.90618	-31.60783	0.67239	0.23762	7.90928	-8.07461	-4.04321	-10.26128	26.43301	-62.87837	-31.04778	-49.61863	-99.65689	43.20680	-32.28663	0.42809	0.40002	0.04482	0.14045	
21	21.00000	0.08000	78.07014	68.08260	0.11423	-20.76913	39.78295	-20.11697	17.18684	-31.19776	0.89139	0.03020	7.84841	-8.05294	-3.83921	-3.49322	29.53093	-103.14252	-56.62341	-42.10091	-7.41639	42.92309	-49.56466	0.42847	0.39877	0.19796	0.02234	
22	22.00000	0.08400	77.71722	67.71019	0.08231	-20.40894	39.64899	-20.54766	16.84630	-30.42247	1.01426	-0.18153	7.81364	-8.02346	-3.79252	9.70358	11.84479	-37.11018	-100.28892	-25.17845	112.40681	13.87169	-20.69461	0.42812	0.39854	0.26708	-0.03123	
23	23.00000	0.08800	77.77246	67.28181	-0.47399	-20.16253	40.13387	-21.04464	16.48896	-29.41024	1.00272	-0.15620	7.81150	-7.96058	-3.80896	-10.87468	-19.78040	-14.20235	-82.78709	14.82481	144.87927	-3.35679	-2.61878	0.42720	0.39924	0.25387	-0.08822	
24	24.00000	0.09200	77.60372	67.04813	-0.41818	-20.05282	40.23680	-21.35363	16.27834	-28.49059	0.98748	-0.20430	7.84619	-7.85491	-3.85133	-29.17239	-49.62091	27.46376	14.65178	4.73549	164.01437	-4.37536	1.41517	0.42698	0.39908	0.21781	-0.11790	
25	25.00000	0.09600	77.98499	67.39903	-1.40691	-19.91335	41.04889	-20.55173	16.25882	-28.57185	0.96812	-0.14415	7.91298	-7.72098	-3.97429	-25.10290	-64.09023	100.60459	76.58154	-75.69173	121.10323	-3.54776	27.49264	0.42677	0.39888	0.11718	-0.03939	
26	26.00000	0.10000	78.42167	67.65778	-2.47011	-19.59374	41.56065	-20.25197	16.32775	-28.57942	0.95962	0.01718	7.99299	-7.59555	-4.16437	-17.73090	-59.85109	100.78943	66.39034	-139.52042	25.78713	5.04667	42.58243	0.42663	0.39868	-0.01019	0.05620	
27	27.00000	0.10400	78.79915	67.92816	-3.86471	-19.36627	42.24886	-20.06330	16.58344	-28.83432	1.00884	0.19841	8.06411	-7.51171	-4.31189	-14.26049	-43.01558	53.85495	50.24590	-161.95216	-56.96234	18.26099	40.65102	0.42655	0.39847	-0.09524	0.11610	
28	28.00000	0.10800	78.85103	68.06102	-4.64047	-18.95257	42.31156	-20.18305	16.81904	-29.10143	1.10815	0.34443	8.10848	-7.47583	-4.39558	-14.19542	-24.46669	-8.27789	34.30984	-141.39130	-104.02468	27.36707	29.18803	0.42648	0.39818	-0.14567	0.17135	
